ConditionEvents,en,uk
Evt4031_Select0,Let's go.,Ходімо.
EventTitle4032,(Main Story) Back to Gorgeville,(Основна історія) Назад до Горджвіля
EventText4032,You've completed a few of the old man's orders. Head back to Gorgeville to see if anything new's come in.,"Ви виконали кілька доручень старого. Повертайся до Ґорґевіля і дізнайся, чи не з'явилося чогось нового."
EventTitle4033,Gorgeville - New Customer,Gorgeville - новий клієнт
EventText4033,"Back in Gorgeville, you find a man sitting outside the office door. He seems excited to see you, then confused. $STR_1Who are you? Where$STR_2s the old man?$STR_1","Повернувшись до $STR_2 Ґорґвіля, ви бачите чоловіка, який сидить перед дверима офісу. Він здається схвильованим, побачивши вас, а потім розгубленим. $STR_1 Хто$STR_1 ви? Де старий?"
Evt4033_Select0,He's dead.,Він мертвий.
EventTitle4034,Gorgeville - New Order,Gorgeville - New Order
EventText4034,"$STR_1Shit, that$STR_2s a shame, but I guess the Valley isn$STR_2t what it used to be. You folks picking up where he left off? I got a list here, cities in need of building materials. Each city needs 6 units, and we$STR_2re paying above market price. Dionysia$STR_2s a special case. Being a bigger city and all, they$STR_2ll need at least 15 units.$STR_1","$STR_1 Чорт, це$STR_2$STR_1 дуже $STR_2 прикро, але, гадаю, Долина вже не та, що$STR_2 раніше. Ви$STR_2 продовжуєте з того місця, де він зупинився? У мене тут список міст, які потребують будівельних матеріалів. Кожному місту потрібно по 6 одиниць, і ми$STR_2 платимо вище ринкової ціни. Діонісія - особливий випадок. Оскільки це велике місто і все таке, їм потрібно щонайменше 15 одиниць."
Evt4034_Select0,"All cities on this list, huh? No smaller settlements?","Всі міста в цьому списку, так? Менших населених пунктів немає?"
Evt4034_Select0_Hint0,"$STR_1Look, call me callous, but the big cities need it more. We$STR_2re the future of humanity. What would you rather see overrun with infected? A bustling metropolis or some hodunk shack out in the dust?$STR_1","$STR_2 $STR_1Послухайте, називайте мене черствим, але великі міста потребують цього більше. Ми - майбутнє людства. Що б ви хотіли бачити переповненим інфікованими? Галасливий мегаполіс чи занедбану халупу в пилюці? $STR_1"
Evt4034_Select1,Where are we gonna get all these building materials?,Де ми візьмемо всі ці будівельні матеріали?
Evt4034_Select1_Hint0,"$STR_1You$STR_2re asking me? Isn$STR_2t that for you to figure out? The north of the Valley is where they make all the building materials. From what I hear, they$STR_2ve been having problems with their food supply. If you were to bring them food, you should be able to flip it for as many building materials as you can carry. Simple enough, right?$STR_1","Ти мене $STR_2 питаєш? А хіба не ти маєш це з'ясувати? На півночі Долини ви$STR_2$STR_1робляють усі будівельні мате$STR_2ріали. Я чув, що вони мають проблеми з продовольством. Якщо ти принесеш їм їжу, то зможеш обміняти її на стільки будівельних матеріалів, скільки зможеш нести. Досить просто, чи не так? $STR_1"
Evt4034_Select2,We know enough.,Ми знаємо достатньо.
EventTitle4035,(Main Story) Bulk Order,(Основна історія) Масове замовлення
EventText4035,Dionysia needs a shipment of 15 Building Materials delivered. You might be able to find enough if you hit up some of the factories up north.,"Діонісії потрібно доставити партію з 15 будівельних матеріалів. Можливо, вам вдасться знайти достатньо, якщо ви відвідаєте деякі заводи на півночі."
EventTitle4036,(Side Story) Building Materials Order,(Побічна історія) Замовлення будівельних матеріалів
EventText4036,Someone needs a shipment of 6 Building Materials delivered. You might be able to find enough if you hit up some of the factories up north.,"Комусь потрібно доставити партію з 6 будівельних матеріалів. Можливо, вам вдасться знайти достатньо, якщо ви відвідаєте деякі заводи на півночі."
EventTitle4037,(Side Story) Building Materials Order 2,(Побічна історія) Замовлення будівельних матеріалів 2
EventText4037,Someone needs a shipment of 6 Building Materials delivered. You might be able to find enough if you hit up some of the factories up north.,"Комусь потрібно доставити партію з 6 будівельних матеріалів. Можливо, вам вдасться знайти достатньо, якщо ви відвідаєте деякі заводи на півночі."
EventTitle4038,Cornucopia - City Hall,Ріг достатку - Ратуша
EventText4038,"Looking through the directory at Cornucopia City Hall, you$STR_2re able to track down the Ministry of Agriculture, in charge of all food wholesaling in the city. You enter the office of the minister.","Переглядаючи довідник у мерії Корнукопії, ви$STR_2 можете знайти Міністерство сільського господарства, яке відповідає за всю оптову торгівлю продуктами харчування в місті. Ви заходите до кабінету міністра."
Evt4038_Select0,[Deliver building materials],[Доставити будівельні матеріали]
Evt4038_Select1,We've got some questions.,У нас є кілька запитань.
Evt4038_Select2,We'll be right back.,Ми зараз повернемося.
EventTitle4039,Cornucopia - City Hall 2,Ріг достатку - Ратуша 2
EventText4039,"$STR_1I$STR_2m a busy man, but I guess I$STR_2ve got some time in my schedule. What did you want to know?$STR_1","$STR_1 Я$STR_2 зайнята людина, але гадаю, що$STR_2 в моєму графіку знайдеться трохи часу. Що ви$STR_1 хотіли дізнатися?"
Evt4039_Select0,How have things been recently?,Як справи останнім часом?
Evt4039_Select0_Hint0,"$STR_1Well, we$STR_2ve got an ungodly horde of infected coming that$STR_2ll soon reduce this beautiful city to a living nightmare, but otherwise pretty good.$STR_1","$STR_1 Що $STR_2 ж, до нас$STR_2 наближається нечестива орда інфікованих, яка незабаром перетворить це прекрасне місто на живий кошмар, але в іншому все досить непогано.$STR_1"
Evt4039_Select1,We want to buy some food.,Ми хочемо купити трохи їжі.
Evt4039_Select1_Hint0,$STR_1Then go to the market and buy some. Our wholesale program is on pause. The city$STR_2s only concern right now is building materials.$STR_1,$STR_1Тоді йдіть на ринок і купіть. Наша оптова програма на паузі. Єдиною проблемою міста зараз є будівельні матеріали.$STR_2$STR_1
Evt4039_Select2,Do you have any jobs for us?,Чи є у вас робота для нас?
Evt4039_Select2_Hint0,"The minister strokes his chin. $STR_1It$STR_2s not just building materials we$STR_2re short of. We$STR_2re also in dire need of weapons. The Southern Lookout should have plenty to spare, but they$STR_2re too close to the horde. None of my chickenshit staffers are willing to go down there.$STR_1 \nHe looks you straight in the eyes. $STR_1You$STR_2re here to buy food, right? Well that$STR_2s the one thing we aren$STR_2t short of. If you head down south and bring me back some weapons, you$STR_2ll get all the food you can carry.$STR_1","Міністр гладить $STR_2 підборіддя. Нам не ви$STR_2$STR_1стачає не лише будівельних матеріалів. Ми$STR_2 також гостро потребуємо зброї. У Південної Варти повинно бути багато, але вони$STR_2 занадто близько до орди. Ніхто з моїх боягузливих підлеглих не хоче туди$STR_1 йти.$STR_1 \nВін дивиться тобі прямо в очі. Ви$STR_2 прийшли за їжею, так? Ну, це$STR_2$STR_1 єдина річ, якої нам не вистачає. Якщо поїдеш на південь і принесеш мені зброю, отримаєш стільки їжі, скільки зможеш нести."
Evt4039_Select3,We'll be going now.,Ми підемо.
EventTitle404,(Main Story) Turning the Lights Back On,(Основна історія) Вмикаємо світло знову
EventText404,"Restoring the city to its former glory won$STR_2t be easy. If you succeed, however, it$STR_2ll be great for your reputation, not to mention your wallet.","Відновити колишню славу міста буде $STR_2 нелегко. Однак, якщо ви$STR_2 досягнете успіху, це буде чудово для вашої репутації, не кажучи вже про ваш гаманець."
Evt404_Hint0,"Restored to its former glory, the city is once again abuzz with activity. You take in the sights and sounds of your prosperous new home, satisfied with what you$STR_2ve accomplished.","Відновлене до своєї колишньої $STR_2 слави, місто знову вирує активністю. Ви насолоджуєтеся краєвидами та звуками вашого нового процвітаючого будинку, задоволені тим, чого ви досягли."
EventTitle4040,Cornucopia - Delivery,Рог достатку - Доставка
EventText4040,$STR_1Do you have the materials with you?$STR_1,$STR_1Чи маєте ви з собою матеріали?$STR_1
Evt4040_Select0,Not right now.,Не зараз.
Evt4040_Select1,Here they are.,Ось вони.
Evt4040_Select1_Hint0,"$STR_1Fantastic, thanks a million. Seems like it$STR_2s all accounted for. My assistant will handle your payment.$STR_1","$STR_1 Фантастика, величезне спасибі. Здається, все$STR_2 враховано. Мій асистент візьметься за ваш платіж."
EventTitle4041,(Side Story) Arms Deal,(Побічна історія) Угода зі зброєю
EventText4041,The city of Cornucopia will be able to pay you with large amounts of Food in exchange for bringing a shipment of weapons back from Southern Lookout.,"Місто Рог достатку зможе заплатити вам великою кількістю їжі в обмін на те, що ви повернете партію зброї з Південної Варти."
EventTitle4042,Southern Lookout - Commander,Південний спостережний пункт - командир
EventText4042,"You catch sight of the guy in charge of the lookout. He$STR_2s holding a pair of binoculars, observing an infected swarm on the distant horizon. He notes your presence with a nod.","Ви бачите хлопця, який стоїть на варті. Він$STR_2 тримає бінокль, спостерігаючи за зараженим роєм на далекому горизонті. Він відзначає вашу присутність кивком."
Evt4042_Select0,[State your business],[Вкажіть ваш бізнес]
EventTitle4043,Southern Lookout - Commander Not-So-Keen,Південний дозор - Командир не надто захоплений
EventText4043,"$STR_1I$STR_2m afraid we don$STR_2t have any weapons to spare,$STR_1 replies the commander.","$STR_1 Я боюся, що$STR_2 у нас немає зброї в запасі,$STR_2 - відповідає командир,$STR_1"
Evt4043_Select0,Why not?,Чому ні?
Evt4043_Select0_Hint0,"$STR_1We$STR_2re right on the frontline, buddy. You think I$STR_2m gonna let so much as a single bullet out of here? They might not be here yet, but when that horde hits, it$STR_2s gonna be bigger than anything we$STR_2ve ever seen.$STR_1","Ми$STR_2$STR_1 на $STR_1 передовій, $STR_2 друже. Ти$STR_2 думаєш, я випущу звідси хоч одну кулю? Можливо, їх ще немає, але коли ця орда прийде, вона буде більшою, ніж ми$STR_2 коли-небудь бачили."
Evt4043_Select1,Maybe we could strike a deal?,"Може, ми могли б домовитися?"
Evt4043_Select1_Hint0,"He looks you up and down, seemingly surprised by your offer. $STR_1We$STR_2ve spotted a big group of infected on the move not far from here. If you can take them out, that would take a lot of pressure off us. Then we can talk about getting you your guns.$STR_1","Він оглядає вас з ніг до $STR_1 голови, $STR_2 здається, здивований вашою пропозицією. Ми$STR_1 помітили велику групу інфікованих, що рухається неподалік звідси. Якщо ви зможете їх знищити, це зніме з нас великий тиск. Тоді ми зможемо поговорити про те, щоб ви отримали вашу зброю."
EventTitle4044,(Side Story) Eliminate the Threat,(Побічна історія) Усунути загрозу
EventText4044,"If you can take out the group of infected threatening Southern Lookout, the commander says he$STR_2ll give you weapons in return.","Якщо ви зможете знищити групу $STR_2 інфікованих, які загрожують Південному Дозору, командир пообіцяє дати вам зброю натомість."
EventTitle4045,Southern Lookout - Threat Management,Southern Lookout - Управління загрозами
EventText4045,"You reach the location the commander told you about. Sure enough, there$STR_2s a big group of infected, seemingly acting as the advance party for the horde. They move straight past you, as if completely uninterested.","Ви досягаєте місця, про яке вам розповів командир. Звісно, там$STR_2 знаходиться велика група інфікованих, яка, схоже, виступає в ролі передового загону орди. Вони проходять повз вас, наче абсолютно не зацікавлені."
Evt4045_Select0,[Open fire] (50% chance of success),[Відкрити вогонь] (50% шансів на успіх)
Evt4045_Select0_Random0_Seq0_Hint0,You've eliminated the infected threat. Better go back and report in to the commander.,Ви усунули загрозу зараження. Краще повертайся і доповідай командиру.
Evt4045_Select0_Random0_Seq1_Hint0,"Though you expected them to turn and attack, they don$STR_2t even bother. Since you miscalculated their trajectory, many of your attacks miss them altogether.","Хоча ви очікували, що вони розвернуться і атакують, вони не$STR_2навіть не потурбувалися. Оскільки ви неправильно розрахували їхню траєкторію, багато ваших атак взагалі не потрапляють в них."
Evt4045_Select0_Random0_Seq2_Hint0,"The group of infected seems to be heading straight toward something, as if they have a destination in mind. Once you launch your attack, they suddenly scatter. You figure they$STR_2ve moved a few dozen kilometers away.","Здається, що група інфікованих прямує прямо до чогось, ніби вони мають на увазі пункт призначення. Як тільки ви атакуєте, вони раптово розбігаються. Ви вважаєте, що вони$STR_2переїхали на кілька десятків кілометрів."
Evt4045_Select1,[Set them on fire] (50% chance of success),[Підпалити їх] (50% шансів на успіх)
Evt4045_Select1_Random0_Seq0_Hint0,You've eliminated the infected threat. Better go back and report in to the commander.,Ви усунули загрозу зараження. Краще повертайся і доповідай командиру.
Evt4045_Select1_Random0_Seq1_Hint0,"Though you expected them to turn and attack, they don$STR_2t even bother. Since you miscalculated their trajectory, many of your attacks miss them altogether.","Хоча ви очікували, що вони розвернуться і атакують, вони не$STR_2навіть не потурбувалися. Оскільки ви неправильно розрахували їхню траєкторію, багато ваших атак взагалі не потрапляють в них."
Evt4045_Select1_Random0_Seq2_Hint0,"The group of infected seems to be heading straight toward something, as if they have a destination in mind. Once you launch your attack, they suddenly scatter. You figure they$STR_2ve moved a few dozen kilometers away.","$STR_2 Здається, що група інфікованих прямує прямо до чогось, наче у них є певний пункт призначення. Як тільки ви починаєте атаку, вони раптово розбігаються. Ви вважаєте, що вони відійшли на кілька десятків кілометрів."
Evt4045_Select2,[Wait],[Зачекати]
Evt4045_Select2_Hint0,You watch them move quickly until they disappear from view. Better move and catch up with them.,"Ви спостерігаєте, як вони швидко рухаються, поки не зникають з поля зору. Краще рухайтеся і наздоганяйте їх."
EventTitle4046,(Side Story) Report Back,(Побічна історія) Звітуйте
EventText4046,You've eliminated the threat. Time to head back to Southern Lookout and report in.,Ви усунули загрозу. Час повертатися на Південний огляд і доповідати.
EventTitle4047,"Southern Lookout - Guns, Lots of Guns","Southern Lookout - Зброя, багато зброї"
EventText4047,"The commander is pleased to hear your report, and hands over a large cache of arms.\nThey$STR_2re very nice weapons... very nice indeed. Maybe you could make better use of them?","Командир радий вислухати вашу доповідь і передає вам велику схованку зброї.\n$STR_2Це дуже гарна зброя... дуже гарна насправді. Може, ти знайдеш їй краще застосування?"
Evt4047_Select0,[Give the weapons to Cornucopia],[Віддайте зброю Рогу достатку]
Evt4047_Select1,[Keep the weapons for yourself],[Зброю залиште собі]
EventTitle4048,(Side Story) Deliver the Weapons,(Побічна історія) Доставити зброю
EventText4048,Bring the weapons back to Cornucopia and exchange them for Food.,"Принесіть зброю назад до ""Рогу достатку"" та обміняйте її на їжу."
Evt4048_Hint0,"The people of Cornucopia seem almost shocked to see the weapons cache you have brought back. But their gratitude is even greater than their surprise. As promised, they reward your efforts with copious supplies of food.","Жителі Рогу достатку, здається, були майже шоковані, побачивши схованку зі зброєю, яку ви привезли. Але їхня вдячність навіть більша за здивування. Як і обіцяли, вони винагороджують ваші зусилля великими запасами їжі."
EventTitle4049,Lumberville - City Hall,Ламбервілль - Мерія
EventText4049,You arrive at the Lumberville's Forestry Department. You manage to track down the department director.,Ви прибуваєте до лісового департаменту Ламбервіля. Вам вдається розшукати директора департаменту.
Evt4049_Select0,[Deliver building materials],[Доставити будівельні матеріали]
Evt4049_Select1,We've got some questions.,У нас є кілька запитань.
Evt4049_Select2,We'll be right back.,Ми зараз повернемося.
EventTitle405,(Main Story) Civitas Scouting Report,(Головна) Звіт про скаутинг Цивітас
EventText405,You've learned some valuable intel about Civitas' defenses and personnel. You should tell the mayor of Taranis about it.,"Ви дізналися цінну інформацію про оборону та персонал ""Цивітас"". Ви повинні розповісти про це меру Тараніса."
Evt405_Hint0,"You tell the mayor what you$STR_2ve learned. He listens to your entire report without a word. $STR_1We already knew all that, but thanks for the effort. Here$STR_2s a little something for your trouble.$STR_1","Ви$STR_2 розповідаєте меру про $STR_1 те, що ви $STR_2 дізналися. Він вислуховує весь ваш звіт без жодного слова. СТР_1Ми$STR_1 вже все це знали, але дякуємо за зусилля. Ось вам невеличка винагорода за ваші старання."
EventTitle4050,Lumberville - City Hall 2,Ламбервіль - Ратуша 2
EventText4050,The director checks his surprisingly-clean fingernails. $STR_1Yeah? What do you want to know?$STR_1 Doesn$STR_2t look like he has much to do.,"Режисер перевіряє свої напрочуд чисті $STR_2 нігті. Так? Що$STR_1 ви хочете знати? $STR_1 Не схоже, щоб у нього було багато справ."
Evt4050_Select0,How have things been recently?,Як справи останнім часом?
Evt4050_Select0_Hint0,"$STR_1Shitty, in case you didn$STR_2t notice the horde of infected parked at our doorstep. Normally I$STR_2d pop a bottle of my best whiskey if those Cornucopia dirtmunchers got what$STR_2s coming to them, but if they get overrun we$STR_2ll be the next to go.$STR_1","$STR_1 Лайно, якщо$STR_2 ти$STR_1 не $STR_2 помітив, що орда інфікованих припаркувалася біля нашого порогу. Зазви$STR_2чай я відкорковую пляшку свого найкращого віскі, якщо ці виродки з ""Рогу достатку"" отримають по заслугах, але якщо їх переб'ють, ми$STR_2 будемо наступними."
Evt4050_Select1,We want to buy some food.,Ми хочемо купити трохи їжі.
Evt4050_Select1_Hint0,"$STR_1Well, we$STR_2ve got plenty. Head to the market. You won$STR_2t find better prices anywhere else.$STR_1","Що $STR_1 ж, у нас$STR_2$STR_1 є $STR_2 багато. Їдьте на базар. Ви ніде не знайдете кращих цін."
Evt4050_Select2,Do you have any jobs for us?,Чи є у вас робота для нас?
Evt4050_Select2_Hint0,"$STR_1Hm... I can think of a few things. With all our boys working to shore up the city$STR_2s defenses, our hunting party is a little understaffed. If you help them out, you$STR_2ll get a share of the game.$STR_1","$STR_1 Хм... Я можу придумати кілька $STR_2 варіантів. З усіма нашими хлопцями, що$STR_2 працюють над зміцненням оборони міста, наша мисливська група трохи недоукомплектована. Якщо ти$STR_1 їм допоможеш, то отримаєш частку здобичі."
Evt4050_Select3,We'll be going now.,Ми підемо.
EventTitle4051,Lumberville - Delivery,Ламбервіль - Доставка
EventText4051,"$STR_1Well I$STR_2ll be, you actually brought them. You got everything we asked for?","$STR_1 Ну що ж, я $STR_2 буду, ти дійсно приніс їх. У тебе є все, що ми просили?"
Evt4051_Select0,Not yet.,Ще ні.
Evt4051_Select1,Here they are.,Ось вони.
Evt4051_Select1_Hint0,"$STR_1Hoo boy, I could kiss you people right now! Here$STR_2s what we owe you.$STR_1","$STR_1 Боже, я можу розцілувати вас прямо зараз! Ось $STR_2, що ми вам винні. $STR_1"
EventTitle4052,(Side Story) Gone Huntin',(Побічна історія) Пішов на полювання
EventText4052,You have tagged along on a hunting trip.,Ви приєдналися до полювання.
EventTitle4053,Lumberville - Protest,Ламбервіль - протест
EventText4053,"On Lumberville$STR_2s main thoroughfare, you encounter a large procession of people. They$STR_2re marching down the street, waving signs and chanting slogans.","На головній вулиці Ламбервілля ви$STR_2 зустрічаєте велику процесію $STR_2 людей. Вони марширують вулицею, розмахуючи плакатами та скандуючи гасла."
Evt4053_Select0,[Read the signs],[Прочитайте знаки]
Evt4053_Select0_Hint0,$STR_1Farms Is Harms!$STR_1 $STR_1Keep Nature Natural!$STR_1 $STR_1Turning What Little Forest We Have Left Into Agricultural Land Could Have Devastating And Irreversible Consequences For The Increasingly-Fragile Local Ecosystem!$STR_1,"$STR_1 Зброя - це$STR_1 шкода! $STR_1 Зберігайте природу природною! $STR_1 Перетворення тих небагатьох лісів, що$STR_1 залишилися, на сільськогосподарські угіддя може мати руйнівні та незворотні наслідки для все більш вразливої місцевої екосистеми! $STR_1"
Evt4053_Select1,[Question passers-by],[Розпитують перехожих]
Evt4053_Select1_Hint0,"$STR_1Those wackjobs? They call themselves $STR_2environmentalists$STR_2, whatever that means. They$STR_2re obsessed with keeping the northern forest from getting cut down. Crazy, right? We$STR_2re all about to die, who cares about a bunch of trees and shit?$STR_1","$STR_1Ці придурки? Вони$STR_1 називають себе $STR_2екологи$STR_2, що$STR_2 б це не означало. Вони$STR_2 одержимі ідеєю вберегти північний ліс від вирубки. Божевілля, правда? Ми всі скоро помремо, кому яке діло до купки дерев та іншого лайна?"
Evt4053_Select2,[Speak to the protestors],[Звертається до протестувальників]
Evt4053_Select2_Hint0,"You lock eyes with one of the protestors. Overjoyed at this implicit permission to talk your ear off, he hurries over to you.\n$STR_1Heya! Do you have time today to talk about the forest? We$STR_2re the Bush Buddies, and we$STR_2re here to save the world! Did you know that the northern forest has been reduced by 30% due to deforestation? The public needs to know the ugly truth!$STR_1","Ви зустрічаєтеся поглядом з одним із $STR_2 протестувальників. Зрадівши цьому неявному дозволу проговорити вам все, що завгодно, він поспішає до вас.\n$STR_1Привіт! У вас є час сьогодні поговорити про ліс? Ми$STR_2 - Друзі Буша, і ми тут, щоб врятувати світ! Чи знаєте ви, що північні ліси скоротилися на 30% через вирубку? Громадськість повинна знати потворну правду! $STR_1"
Evt4053_Select3,[Leave],[Піти]
EventTitle4054,Forest Lookout - Hunting Party,Лісова сторожа - мисливська партія
EventText4054,"You meet up with a group of Forestry Department rangers, decked out in hunting gear. Seems like you$STR_2re the last to arrive. $STR_1You$STR_2re here. Good. Let$STR_2s get out there.$STR_1","Ви$STR_1$STR_2 зустрічаєтеся з групою рейнджерів лісового $STR_1 департаменту, одягнених у мисливське $STR_2 спорядження. Здається, ви$STR_2 прибули останнім. Ти тут. Ну що ж, добре. Нехай вони виходять."
Evt4054_Select0,We're ready to go.,Ми готові.
EventTitle4055,Forest Lookout - Bag 'Em and Tag 'Em,Лісова варта - мішки та мітки
EventText4055,"Together with the Lumberville rangers, you manage to bag a lot of game. The rangers decide that this should be enough and prepare to break camp.","Разом з рейнджерами Ламбервіля вам вдається вполювати багато дичини. Рейнджери вирішують, що цього достатньо, і готуються розбити табір."
Evt4055_Select0,Let's go home.,Ходімо додому.
EventTitle4056,"Forest Lookout - Hunters, Hunted","Лісова варта - Мисливці, впольовані"
EventText4056,"As the rangers begin packing their bags, a shot rings out from the forest. One of the hunting party thuds to the ground, blood pouring out of the new hole in his chest. The lead ranger drops prone. $STR_1Bush Buddies! Get down!$STR_1\nYou immediately drop to your stomach. A chaotic firefight rages above you.","Коли рейнджери починають пакувати свої сумки, з лісу лунає постріл. Один з мисливців падає на землю, з нового отвору в його грудях ллється кров. Головний рейнджер падає навзнак. Друзі з кущів! Лягай! $STR_1\nВи негайно падаєте на живіт. Над вами вирує хаотична перестрілка."
Evt4056_Select0,Ah shit...,Дідько...
EventTitle4057,Forest Lookout - Nature's Wrath,Лісова варта - гнів природи
EventText4057,"When the gunfire stops, you and the surviving rangers are surrounded by armed Bush Buddies in forest camo. $STR_1You have taken that which belongs to nature! Drop everything you stole and we$STR_2ll let you live!$STR_1","Коли постріли $STR_1 припиняються, ви$STR_1 і вцілілі рейнджери опиняєтеся в оточенні озброєних друзів Буша в лісовому камуфляжі. Ви забрали те, що належить природі! Кидайте все, що ви вкрали, і ми$STR_2 залишимо вам життя!"
Evt4057_Select0,[Comply],[Дотримується]
Evt4057_Select0_Hint0,There's too many of them. You leave with your tail tucked between your legs.,"Їх занадто багато. Ти йдеш, підібгавши хвіст між ніг."
Evt4057_Select1,[Fight them],[Бийся з ними]
Evt4057_Select2,[Try to talk them down],[Спробуйте вмовити їх]
Evt4057_Select2_Hint0,It's no use. They've caught you red-handed and they have you at gunpoint.,Це марно. Вони спіймали тебе на гарячому і тримають на мушці.
Evt4057_Select3,[Wait and see what the others do],"[Зачекайте і подивіться, що зроблять інші]."
Evt4057_Select3_Hint0,"One after another, the rangers drop their quarry, swearing under their breath.","Один за одним рейнджери кидають свій кар'єр, лаючись собі під ніс."
EventTitle4058,Dionysia - In Flagrante,Dionysia - In Flagrante
EventText4058,"You enter the mayor$STR_2s office to find him getting cozy with two scantily-clad women. He continues his canoodling, not the least bit bashful at your presence.\n$STR_1Are you here to deliver the building materials?$STR_1 The mayor$STR_2s aide looks at you expectantly. His boss takes a break from necking to take a big gulp of wine.","Ви$STR_2 заходите до кабінету мера і бачите, що він затишно влаштувався з двома легко одягненими жінками. Він продовжує свою розмову, анітрохи не соромлячись вашої присутності.\n$STR_1Ви тут, щоб доставити будівельні матеріали?$STR_1 Помічник мера$STR_2 вичікувально дивиться на вас. Його бос відривається від шиї, щоб зробити великий ковток вина."
Evt4058_Select0,Uh... yup.,А... так.
Evt4058_Select1,Nope.,Ні.
EventTitle4059,Dionysia - Work Hard Play Hard,Dionysia - Work Hard Play Hard
EventText4059,"Without even putting down his wine glass, the mayor directs his aide to prepare your payment and orders his bodyguard to check the goods. As you lead the bodyguard back to your truck, you get to chatting.","Навіть не відставивши келих вина, мер дає вказівку своєму помічникові підготувати ваш платіж і наказує своєму охоронцеві перевірити товар. Поки ви проводжаєте охоронця до своєї вантажівки, ви починаєте розмовляти."
Evt4059_Select0,"The mayor doesn$STR_2t seem to care that much about these materials, huh?","$STR_2 Здається, мер не дуже переймається цими матеріалами, чи не так?"
Evt4059_Select0_Hint0,"$STR_1Hey, the mayor$STR_2s got a lot on his plate, alright? Receiving these building materials isn$STR_2t even his job, it$STR_2s the construction minister$STR_2s.$STR_1","$STR_1 Слухай, у мера і так багато $STR_2 роботи, ясно? Отримання цих будівельних матеріалів - це$STR_2 навіть не його робота, це$STR_1 робота міністра будівництва."
Evt4059_Select1,"The mood seems... jovial here, considering what$STR_2s going on outside.","Настрій тут здається... веселим, зважаючи на те, що $STR_2 відбувається зовні."
Evt4059_Select1_Hint0,"$STR_1The richest people in the Dustlands come here to spend their scrap. Least we can do is show them a good time, right?$STR_1","Найбагатші люди Пилових земель приїжджають сюди, щоб здати свій металобрухт. Найменше, що ми можемо зробити, це показати їм, як добре вони$STR_1 проводять час, чи не так? $STR_1"
Evt4059_Select2,Our truck is right around this corner.,Наша машина стоїть за рогом.
EventTitle406,Metropol - I Smell a Rat,Metropol - I Smell a Rat
EventText406,"The don gives you a chilling smile. $STR_1The jig$STR_2s up, rat. You$STR_2re working for Taranis, ain$STR_2t you?$STR_1","Дон дарує тобі$STR_2 крижану $STR_1 посмішку. Дзиґа $STR_2 закінчилася, пацюче. Ти$STR_1 працюєш на Тараніса, чи не так?"
Evt406_Select0,We aren't!,"Ні, це не так!"
Evt406_Select0_Hint0,"$STR_1Wrong answer.$STR_1 One of the goon lifts you up, then knees you so hard in the stomach you feel like your guts are gonna shoot out your eyes.","$STR_1Неправильна відповідь.$STR_1 Один з бандитів піднімає вас, а потім так сильно б'є коліном у живіт, що вам здається, ніби кишки вилізуть з ваших очей."
Evt406_Select1,You have any proof?,У вас є якісь докази?
Evt406_Select1_Hint0,The don doesn't say a word as he lays out photos of you meeting with the mayor of Taranis. A cold sweat runs down your cheek.,"Дон не каже ні слова, поки розкладає фотографії вашої зустрічі з мером Тараніса. Холодний піт стікає по твоїй щоці."
Evt406_Select2,We are.,Так і є.
Evt406_Select3,Not anymore!,Вже ні!
EventTitle4060,Dionysia - Order Complete,Dionysia - замовлення завершено
EventText4060,You've finished your delivery to Dionysia and received your payment. It might be time to check back in at the Gorgeville office to see if you've gotten any new orders.,"Ви завершили доставку на Діонісію і отримали оплату. Можливо, настав час повернутися до офісу в Ґорґевлі, щоб перевірити, чи не надійшли нові замовлення."
Evt4060_Select0,Let's go.,Ходімо.
EventTitle4061,"(Main Story) Back to Gorgeville, Again",(Основна історія) Знову повертаємося до Горгевіля
EventText4061,Head back to Gorgeville to see if you've gotten any new orders.,"Поверніться до Горгевіля і перевірте, чи не отримали ви нових замовлень."
EventTitle4062,Dionysia - Casino,Dionysia - Казино
EventText4062,"You enter Dionysia$STR_2s casino, a glitzy and glamorous place by Dustland standards. Gamblers flit between the card tables as faintly-glowing slot machines whir and chime.","Ви потрапляєте до казино Dionysia$STR_2s, блискучого і гламурного місця за стандартами Дастленду. Гравці снують між картярськими столами, а тьмяно світяться ігрові автомати, дзижчать і дзвенять."
Evt4062_Select0,[Hit up the slot machines],[Увімкніть ігрові автомати]
Evt4062_Select1,[Play cards],[Грають у карти]
Evt4062_Select2,[Leave],[Піти]
EventTitle4063,Dionysia - Slot Machine,Dionysia - ігровий автомат
EventText4063,"The slot machine hums with life, prepared to make or break your fortune. Reading the rules on the side, you learn you can put in either 1 token or 10 tokens. If you get three of the same symbol, you$STR_2ll receive 5x your bet.","Ігровий автомат гуде життям, готовий зробити або зламати вашу долю. Читаючи правила збоку, ви дізнаєтесь, що можете поставити або 1 жетон, або 10 жетонів. Якщо ви отримаєте три однакових символи, ви$STR_2 отримаєте 5-кратну ставку."
Evt4063_Select0,[Put in 1 token],[Вставте 1 жетон].
Evt4063_Select0_Random0_Seq0_Hint0,None of the symbols match up. This stupid thing must be rigged.,"Жоден з символів не збігається. Ця дурнувата штука, мабуть, підроблена."
