LocalizedTable,en,uk
@/Objects_1017_Name,Vegetables,Овочі
@/Objects_1018_Name,Wood,Деревина
@/Objects_1019_Name,Tea Leaves,Чайне листя
@/Objects_1020_Name,Spices,Спеції
@/Objects_1021_Name,Coffee Beans,Кава в зернах
@/Objects_1022_Name,Medicinal Herbs,Лікарські трави
@/Objects_1023_Name,Thread,Нитка
@/Objects_1024_Name,Rubber,Гума
@/Objects_1025_Name,Honey,Мед
@/Objects_1026_Name,Chicken,Курка
@/Objects_1027_Name,Eggs,Яйця
@/Objects_1028_Name,Milk,Молоко
@/Objects_1029_Name,Rawhide,Сиром'ятна шкіра
@/Objects_1030_Name,Pork,Свинина
@/Objects_1031_Name,Ore,Руда
@/Objects_1032_Name,Charcoal,Деревне вугілля
@/Objects_1033_Name,Flour,Борошно
@/Objects_1034_Name,Sugar,Цукор
@/Objects_1035_Name,Salt,Сіль
@/Objects_1036_Name,Dried Vegetables,Сушені овочі
@/Objects_1037_Name,Dried Chicken,Сушена курка
@/Objects_1038_Name,Salt Pork,"Якщо ваша Мова досить високо, вона не покращиться, при невчдачних торгах."
@/Objects_1039_Name,Canned Fruit,Фруктові консерви
@/Objects_1040_Name,Beer,Пиво
@/Objects_1041_Name,Tea,Чай
@/Objects_1042_Name,Meds,Ліки
@/Objects_1043_Name,Cloth,Тканина
@/Objects_1044_Name,Ointment,Мазь
@/Objects_1045_Name,Jewelry,Ювелірка
@/Objects_1046_Name,Bread,Хліб
@/Objects_1047_Name,Fruit Wine,Фруктове вино
@/Objects_1048_Name,Water Purifier,Очищувач води
@/Objects_1049_Name,Seasoning,Приправа
@/Objects_1050_Name,Clothing,Одяг
@/Objects_1051_Name,Energy Bar,Енергетичний батончик
@/Objects_1052_Name,Leather,Шкіра
@/Objects_1053_Name,Cheese,Сир
@/Objects_1054_Name,Ham,Шинка
@/Objects_1055_Name,Crab,Краб
@/Objects_1056_Name,Prawn,Королівська креветка
@/Objects_1057_Name,Fish,Риба
@/Objects_1058_Name,Rabbit,Кролик
@/Objects_1059_Name,Venison,Оленина
@/Objects_1060_Name,Quail,Перепілка
@/Objects_1061_Name,Agaric,Мухомор
@/Objects_1062_Name,Morel,Морель
@/Objects_1063_Name,Matsutake,Мацутаке
@/Objects_1064_Name,Scallop,Морський гребінець
@/Objects_1065_Name,Shrimp,Креветки
@/Objects_1066_Name,Squab,Голубине м'ясо
@/Objects_1067_Name,Pheasant,Фазан
@/Objects_1068_Name,Button Mushroom,Печерниці
@/Objects_1069_Name,Oyster Mushroom,Гливи
@/Objects_1070_Name,Human Flesh,Людська плоть
@/Objects_1071_Name,Infected Meat,Інфіковане м'ясо
@/Objects_1072_Name,Relics,Реліквії
@/Objects_1073_Name,Pre-Fall Electronics,Електроніка Цивілізації
@/Objects_1074_Name,Wastewater,Брудна вода
@/Objects_1075_Name,Scorpion,Скорпіон
@/Objects_1076_Name,Millipede,Багатоніжка
@/Objects_1077_Name,Beetle,Жук
@/Objects_1078_Name,Blind Tetra,Сліпа Тетра
@/Objects_1079_Name,Crystal Shrimp,Кришталеві креветки
@/Objects_1080_Name,Threadfin,Ниткопер
@/Objects_1081_Name,Cave Snake,Печерна змія
@/Objects_1082_Name,Bat,Кажан
@/Objects_1083_Name,Salamander,Саламандра
@/Objects_1084_Name,Flashlight,Ліхтарик
@/Objects_1085_Name,Energy Drink,Енергетичний напій
@/Objects_1086_Name,Hardtack,Хардтак
@/Objects_1087_Name,Portable Scanner,Портативний сканер
@/Objects_1088_Name,Calming Candy,Заспокійлива цукерка
@/Objects_1089_Name,Ruins Weapons,Руїни зброя
@/Objects_2000_Name,Mailbox,Поштова скринька
@/Objects_2001_Name,Delivery Container,Контейнер для доставки
@/Objects_2002_Name,Artwork Box,Коробка для творів мистецтва
@/Objects_2003_Name,Bicycle Box,Коробка для велосипеда
@/Objects_2004_Name,Appliance Box,Коробка приладу
@/Objects_2005_Name,Paint Bucket,Відро для фарби
@/Objects_1000_Description,Basic resource. Can be gathered by collecting rainwater.,"Базовий ресурс. Можна збирати, збираючи дощову воду."
@/Objects_1001_Description,Needed to make your truck move.,"Необхідний, щоб змусити вашу вантажівку рухатися."
@/Objects_1002_Description,Needed to make your truck move.,"Необхідний, щоб змусити вашу вантажівку рухатися."
@/Objects_1003_Description,Spent whenever you fire a weapon.,"Витрачається щоразу, коли ви стріляєте зі зброї."
@/Objects_1006_Description,Basic currency.,Основна валюта.
@/Objects_1007_Description,You don't eat them for the flavor. Can be made more palatable by cooking.,Ви не їсте їх заради смаку. Можна зробити більш смачним готуванням.
@/Objects_1008_Description,Basic resource. Used for upgrades and learning Blueprints.,Базовий ресурс. Використовується для покращень та вивчення креслень.
@/Objects_1009_Description,Basic resource for construction.,Основний ресурс для будівництва.
@/Objects_1010_Description,"Can be consumed to reduce Stress, if you've given up on life.","Можна вживати для зменшення Стресу, якщо ви відмовилися від життя."
@/Objects_1011_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1012_Description,Heals truckers.,Лікує далекобійників.
@/Objects_1013_Description,Used to upgrade your truck and create high-quality Parts.,Використовується для покращення вашої вантажівки та створення високоякісних деталей.
@/Objects_1014_Description,Basic resource.,Базовий ресурс.
@/Objects_1015_Description,Basic resource.,Базовий ресурс.
@/Objects_1016_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1017_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1018_Description,Basic resource. Can be burnt to create Charcoal.,Базовий ресурс. Можна спалити для створення деревного вугілля.
@/Objects_1019_Description,Basic resource.,Базовий ресурс.
@/Objects_1020_Description,Cooking ingredient.,Кулінарний інгредієнт.
@/Objects_1021_Description,Basic resource.,Базовий ресурс.
@/Objects_1022_Description,Can be used in cooking.,Можна використовувати в кулінарії.
@/Objects_1023_Description,Basic resource.,Базовий ресурс.
@/Objects_1024_Description,Basic resource.,Базовий ресурс.
@/Objects_1025_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1026_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1027_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1028_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1029_Description,Basic resource.,Базовий ресурс.
@/Objects_1030_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1031_Description,Basic resource.,Базовий ресурс.
@/Objects_1032_Description,Basic resource. Can be used to boil water. Made by burning Wood.,Базовий ресурс. Можна використовувати для кип'ятіння води. Виготовлений шляхом випалювання деревини.
@/Objects_1033_Description,Cooking ingredient.,Кулінарний інгредієнт.
@/Objects_1034_Description,Cooking ingredient.,Кулінарний інгредієнт.
@/Objects_1035_Description,Cooking ingredient.,Кулінарний інгредієнт.
@/Objects_1036_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1037_Description,Can be consumed.,Можна споживати.
@/Objects_1038_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1039_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1040_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1041_Description,Can be used in cooking.,Можна використовувати в кулінарії.
@/Objects_1042_Description,Heals truckers.,Лікує далекобійників.
@/Objects_1043_Description,Basic resource.,Базовий ресурс.
@/Objects_1044_Description,Heals truckers.,Лікує далекобійників.
@/Objects_1045_Description,A valuable resource.,Цінний ресурс.
@/Objects_1046_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1047_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1048_Description,A trade good. Used to purify sewage.,Торговий товар. Використовується для очищення стічних вод.
@/Objects_1049_Description,Cooking ingredient.,Кулінарний інгредієнт.
@/Objects_1050_Description,A trade good.,Торговий товар.
@/Objects_1051_Description,Can be consumed.,Можна споживати.
@/Objects_1052_Description,A trade good.,Торговий товар.
@/Objects_1053_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1054_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1055_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1056_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1057_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1058_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1059_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1060_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1061_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1062_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1063_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1064_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1065_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1066_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1067_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1068_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1069_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1070_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1071_Description,Can be consumed or used in cooking.,Можна споживати або використовувати в кулінарії.
@/Objects_1072_Description,A valuable resource.,Цінний ресурс.
@/Objects_1073_Description,A valuable resource.,Цінний ресурс.
@/Objects_1074_Description,Non-drinkable water. Can be purified by boiling while camped.,Непитна вода. Можна очистити шляхом кип'ятіння в таборі.
@/Objects_1075_Description,"Can't be consumed raw, but can be used in cooking or in medicine.","Не можна вживати в сирому вигляді, але можна використовувати в кулінарії або в медицині."
@/Objects_1076_Description,"Can't be consumed raw, but can be used in cooking or in medicine.","Не можна вживати в сирому вигляді, але можна використовувати в кулінарії або в медицині."
@/Objects_1077_Description,Can be consumed or used in cooking or in medicine.,Можна споживати або використовувати в кулінарії або в медицині.
@/Objects_1078_Description,A trade good. It doesn't appear edible.,Торговий товар. Він не виглядає їстівним.
@/Objects_1079_Description,A trade good. It doesn't appear edible.,Торговий товар. Він не виглядає їстівним.
@/Objects_1080_Description,A trade good. It doesn't appear edible.,Торговий товар. Він не виглядає їстівним.
@/Objects_1081_Description,Can be consumed or used in cooking or in medicine.,Можна споживати або використовувати в кулінарії або в медицині.
@/Objects_1082_Description,Can be consumed or used in cooking or in medicine.,Можна споживати або використовувати в кулінарії або в медицині.
@/Objects_1083_Description,"Can't be consumed raw, but can be used in cooking or in medicine.","Не можна вживати в сирому вигляді, але можна використовувати в кулінарії або в медицині."
@/Objects_1084_Description,[Ruins] Team scout range +1 when carried.,[Руїни] Дальність дослідження +1 при носінні.
@/Objects_1085_Description,Can be consumed and taken into Ruins.,Можна спожити та забрати в руїни.
@/Objects_1086_Description,Can be consumed and taken into Ruins.,Можна спожити та забрати в руїни.
@/Objects_1087_Description,"[Ruins] When carried, team does not consume additional AP when entering unexplored areas.",[Руїни] Під час перенесення команда не витрачає додаткові AP під час входу в недосліджені території.
@/Objects_1088_Description,Reduces Stress.,Зменшує Стрес.
@/Objects_1089_Description,"Weapon found in the Ruins. Seems capable of dealing a large amount of damage, but can only be used once.","Зброя, знайдена в руїнах.Здається, здатний нанести велику кількість збитків, але їх можна використовувати лише один раз."
@/Objects_2000_Description,A mailbox.,Поштова скринька.
@/Objects_2001_Description,A delivery container.,Транспортний контейнер.
@/Objects_2002_Description,A box of handicrafts.,Скринька рукоділля.
@/Objects_2003_Description,"A bicycle, dismantled and packed into box.","Велосипед, розібраний та упакований в коробку."
@/Objects_2004_Description,A box of electronic appliances.,Коробка електронної техніки.
@/Objects_2005_Description,A big bucket of paint.,Велике відро фарби.
@/LackEvent_0_Name,Industrial Products,Промислова продукція
@/LackEvent_1_Name,Fuel,Паливо
@/LackEvent_2_Name,Industrial Products,Промислова продукція
@/LackEvent_3_Name,Food,харчування
@/LackEvent_4_Name,Industrial Products,Промислова продукція
@/LackEvent_5_Name,Food,харчування
@/LackEvent_6_Name,Food,харчування
@/LackEvent_7_Name,Medicine,Ліки
@/LackEvent_8_Name,Medicine,Ліки
@/LackEvent_9_Name,Food,Їжа
@/LackEvent_10_Name,Food,Їжа
@/LackEvent_11_Name,Food,Їжа
@/LackEvent_12_Name,Food,Їжа
@/LackEvent_13_Name,Fuel,Паливо
@/LackEvent_14_Name,Goods,Товари
@/LackEvent_15_Name,Goods,Товари
@/LackEvent_16_Name,Goods,Товари
@/LackEvent_17_Name,Medicine,Ліки
@/LackEvent_18_Name,Goods,Товари
@/LackEvent_19_Name,Medicine,Ліки
@/LackEvent_20_Name,Food,Їжа
@/LackEvent_21_Name,Food,Їжа
@/LackEvent_22_Name,Food,Їжа
@/LackEvent_23_Name,Food,Їжа
@/LackEvent_24_Name,Food,Їжа
@/LackEvent_25_Name,Food,Їжа
@/LackEvent_26_Name,Industrial Products,Промислова продукція
@/LackEvent_27_Name,Fuel,Паливо
@/LackEvent_28_Name,Food,Їжа
@/LackEvent_29_Name,Food,Їжа
@/LackEvent_30_Name,Food,Їжа
@/LackEvent_31_Name,Food,Їжа
@/LackEvent_32_Name,Food,Їжа
@/LackEvent_33_Name,Food,Їжа
@/LackEvent_34_Name,Food,Їжа
@/LackEvent_35_Name,Goods,Товари
@/LackEvent_36_Name,Goods,Товари
@/LackEvent_37_Name,Medicine,Ліки
@/LackEvent_38_Name,Goods,Товари
@/LackEvent_39_Name,Medicine,Ліки
@/LackEvent_40_Name,Luxuries,Предмети розкоші
@/LackEvent_41_Name,Food,Їжа
@/LackEvent_42_Name,Goods,Товари
@/LackEvent_43_Name,Industrial Products,Промислова продукція
@/LackEvent_44_Name,Goods,Товари
@/LackEvent_45_Name,Industrial Products,Промислова продукція
@/LackEvent_46_Name,Food,Їжа
@/LackEvent_47_Name,Industrial Products,Промислова продукція
@/LackEvent_48_Name,Food,Їжа
@/LackEvent_49_Name,Food,Їжа
@/LevelUP_-1_Description,Maxed out,Вичерпано
@/LevelUP_0_Description,Fuel Use -1,Використання палива -1
@/LevelUP_1_Description,"HP +1, Fuel Use +2","КС +1, використання палива +2"
@/LevelUP_2_Description,Fuel Use -1,Використання палива -1
@/LevelUP_3_Description,"HP +1, Fuel Use +2","КС +1, використання палива +2"
@/LevelUP_4_Description,Hull +25,Корпус +25
@/LevelUP_5_Description,Hull +25,Корпус +25
@/LevelUP_6_Description,Hull +50,Корпус +50
@/LevelUP_7_Description,Hull +50,Корпус +50
@/LevelUP_8_Description,Comfort +1,Комфорт +1
@/LevelUP_9_Description,Comfort +1,Комфорт +1
@/LevelUP_10_Description,Comfort +1,Комфорт +1
@/LevelUP_11_Description,Comfort +1,Комфорт +1
@/LevelUP_12_Description,Storage +2000,Зберігання +2000
@/LevelUP_13_Description,Storage +2000,Зберігання +2000
@/LevelUP_14_Description,Storage +3000,Зберігання +3000
@/LevelUP_15_Description,Storage +4000,Зберігання +4000
@/LevelUP_16_Description,Tire Durability +25%,Довговічність шини +25%
@/LevelUP_17_Description,Tire Durability +25%,Довговічність шини +25%
@/LevelUP_18_Description,Tire Durability +50%,Довговічність шини +50%
@/LevelUP_19_Description,Tire Durability +50%,Довговічність шини +50%
@/LevelUP_20_Description,Max Crew +1,Максимальний екіпаж +1
@/LevelUP_21_Description,Max Crew +1,Максимальний екіпаж +1
@/LevelUP_1000_Description,Repair Engine,Ремонт двигуна
@/LevelUP_1001_Description,Repair Engine,Ремонт двигуна
@/LevelUP_1002_Description,Repair Engine,Ремонт двигуна
@/LevelUP_1003_Description,Repair Engine,Ремонт двигуна
@/LevelUP_1004_Description,Repair Engine,Ремонт двигуна
@/LevelUP_1005_Description,Restore Hull,Відновити Корпус
@/LevelUP_1006_Description,Fix Tires,Ремонт шин
@/Cart_1_Name,Goods Trailer,Товарний причіп
@/Cart_2_Name,Large Goods Trailer,Великий вантажний причіп
@/Cart_3_Name,Travel Trailer,Трейлер для подорожей
@/Cart_4_Name,Large Travel Trailer,Великий туристичний трейлер
@/Cart_5_Name,Gun Trailer,Трейлер зброї
@/Cart_6_Name,Large Gun Trailer,Великий трейлер зброї
@/Cart_1_Description,"Max Load +5000, Fuel Use +8","Максимальне навантаження +5000, використання палива +8"
@/Cart_2_Description,"Max Load +20,000, Horsepower -1, Fuel Use +8","Максимальне навантаження +20 000, кінська сила -1, використання палива +8"
@/Cart_3_Description,"Crew Limit +1, Max Load -1500","Ліміт екіпажу +1, максимальне навантаження -1500"
@/Cart_4_Description,"Crew Limit +2, Max Load -3000","Ліміт екіпажу +2, максимальне навантаження -3000"
@/Cart_5_Description,"Ammo damage +1, Fuel Use +6","Шкода Патронами +1, використання палива +6"
@/Cart_6_Description,"Ammo damage +3, Horsepower -1, Fuel Use +6","Шкода Патронами +3, кінська сила -1, використання палива +6"
@/SelfCity_Government_0_Name,Abandoned Apartments,Покинуті квартири
@/SelfCity_Government_1_Name,Run-Down Apartments,Запущені квартири
@/SelfCity_Government_2_Name,Ordinary Apartments,Звичайні квартири
@/SelfCity_Warehouse_0_Name,Abandoned Depot,Покинуте депо
@/SelfCity_Warehouse_1_Name,Small Depot,Мале Депо
@/SelfCity_Warehouse_2_Name,Medium Depot,Середнє депо
@/SelfCity_Warehouse_3_Name,Large Depot,Велике Депо
@/SelfCity_Warehouse_4_Name,Extra Large Depot,Дуже велике депо
@/SelfCity_Farm_0_Name,Overgrown Farm,Зарослий Хутір
@/SelfCity_Farm_1_Name,Degraded Farm,Деградована ферма
@/SelfCity_Farm_2_Name,Ordinary Farm,Звичайна ферма
@/SelfCity_Farm_3_Name,Fertile Farm,Родючий Хутір
@/SelfCity_WaterPump_0_Name,Dried-Up Water Pump,Висохлий водяний насос
@/SelfCity_WaterPump_1_Name,Ordinary Water Pump,Звичайний водяний насос
@/SelfCity_PartsWorkshop_0_Name,Abandoned Procurement Office,Покинута заготівельна контора
@/SelfCity_PartsWorkshop_1_Name,Run-Down Procurement Office,Застаріла заготівельна контора
@/SelfCity_PartsWorkshop_2_Name,Ordinary Procurement Office,Звичайна заготівельна контора
@/SelfCity_DailyNecessities_0_Name,Abandoned Light Industry,Занедбана легка промисловість
@/SelfCity_DailyNecessities_1_Name,Run-Down Light Industry,Занедбана легка промисловість
@/SelfCity_DailyNecessities_2_Name,Ordinary Light Industry,Звичайна легка промисловість
@/SelfCity_TyreFactory_0_Name,Abandoned Advanced Light Industry,Покинута передова легка промисловість
@/SelfCity_TyreFactory_1_Name,Run-Down Advanced Light Industry,Застаріла передова легка промисловість
@/SelfCity_TyreFactory_2_Name,Ordinary Advanced Light Industry,Звичайна передова легка промисловість
@/SelfCity_AmmunitionFactory_0_Name,Abandoned Foundry,Покинутий ливарний завод
@/SelfCity_AmmunitionFactory_1_Name,Run-Down Foundry,Застаріла ливарна
@/SelfCity_AmmunitionFactory_2_Name,Ordinary Foundry,Звичайний ливарний
@/SelfCity_BuildingMaterials_0_Name,Abandoned Heavy Industry,Покинута важка промисловість
@/SelfCity_BuildingMaterials_1_Name,Run-Down Heavy Industry,Занедбана важка промисловість
@/SelfCity_BuildingMaterials_2_Name,Ordinary Heavy Industry,Звичайна важка промисловість
@/SelfCity_Defences_0_Name,Run-Down Defenses,Зношені засоби захисту
@/SelfCity_Defences_1_Name,Solid Defenses,Надійний захист
@/SelfCity_Defences_2_Name,Sturdy Defenses,Міцний захист
@/SelfCity_Defences_3_Name,Strong Defenses,Сильний захист
@/SelfCity_Defences_4_Name,Impenetrable Defenses,Непроникна оборона
@/SelfCity_Government_0_OriginName,Apartments,Квартири
@/SelfCity_Government_1_OriginName,Apartments,Квартири
@/SelfCity_Government_2_OriginName,Apartments,Квартири
@/SelfCity_Warehouse_0_OriginName,Depot,Депо
@/SelfCity_Warehouse_1_OriginName,Depot,Депо
@/SelfCity_Warehouse_2_OriginName,Depot,Депо
@/SelfCity_Warehouse_3_OriginName,Depot,Депо
@/SelfCity_Warehouse_4_OriginName,Depot,Депо
@/SelfCity_Farm_0_OriginName,Farm,Ферма
@/SelfCity_Farm_1_OriginName,Farm,Ферма
@/SelfCity_Farm_2_OriginName,Farm,Ферма
@/SelfCity_Farm_3_OriginName,Farm,Ферма
@/SelfCity_WaterPump_0_OriginName,Water Pump,Водяний насос
@/SelfCity_WaterPump_1_OriginName,Water Pump,Водяний насос
@/SelfCity_PartsWorkshop_0_OriginName,Procurement,Центр постачання
@/SelfCity_PartsWorkshop_1_OriginName,Procurement,Центр постачання
@/SelfCity_PartsWorkshop_2_OriginName,Procurement,Центр постачання
@/SelfCity_DailyNecessities_0_OriginName,Light Industry,Легка промисловість
@/SelfCity_DailyNecessities_1_OriginName,Light Industry,Легка промисловість
@/SelfCity_DailyNecessities_2_OriginName,Light Industry,Легка промисловість
@/SelfCity_TyreFactory_0_OriginName,Advanced Light Industry,Передова легка промисловість
@/SelfCity_TyreFactory_1_OriginName,Advanced Light Industry,Передова легка промисловість
@/SelfCity_TyreFactory_2_OriginName,Advanced Light Industry,Передова легка промисловість
@/SelfCity_AmmunitionFactory_0_OriginName,Foundry,Ливарний цех
@/SelfCity_AmmunitionFactory_1_OriginName,Foundry,Ливарний цех
@/SelfCity_AmmunitionFactory_2_OriginName,Foundry,Ливарний цех
@/SelfCity_BuildingMaterials_0_OriginName,Heavy Industry,Важка промисловість
@/SelfCity_BuildingMaterials_1_OriginName,Heavy Industry,Важка промисловість
@/SelfCity_BuildingMaterials_2_OriginName,Heavy Industry,Важка промисловість
@/SelfCity_Defences_0_OriginName,Defenses,Оборона
@/SelfCity_Defences_1_OriginName,Defenses,Оборона
@/SelfCity_Defences_2_OriginName,Defenses,Оборона
@/SelfCity_Defences_3_OriginName,Defenses,Оборона
@/SelfCity_Defences_4_OriginName,Defenses,Оборона
@Jobs_Land_Name,Farm,Ферма
@Jobs_Tree_Name,Orchard,Фруктовий сад
@Jobs_Water_Name,Water Pump,Водяний насос
@Jobs_Ranch_Name,Ranch,Ранчо
@Jobs_Shop_Name,Procurement,Центр постачання
@Jobs_BaseFactory_Name,Basic Light Industry,Основна легка промисловість
@Jobs_AdvanceFactory_Name,Advanced Light Industry,Передова легка промисловість
@Jobs_MetalFactory_Name,Foundry,Ливарний цех
@Jobs_HeavyFactory_Name,Heavy Industry,Важка промисловість
@Jobs_Defence_Name,Defense,Захист
@Jobs_Repair_Name,Repairs,ремонт
@Jobs_Land_NeedStatusDescription,Farming,Фермерство
@Jobs_Tree_NeedStatusDescription,Farming,Фермерство
@Jobs_Water_NeedStatusDescription,Farming,Фермерство
@Jobs_Ranch_NeedStatusDescription,Husbandry,Господарство
@Jobs_Shop_NeedStatusDescription,Speech,Виступ
@Jobs_BaseFactory_NeedStatusDescription,Crafting,Крафт
@Jobs_AdvanceFactory_NeedStatusDescription,Crafting,Крафт
@Jobs_MetalFactory_NeedStatusDescription,Crafting,Крафт
@Jobs_HeavyFactory_NeedStatusDescription,Crafting,Крафт
@Jobs_Defence_NeedStatusDescription,Attack,Напад
@Jobs_Repair_NeedStatusDescription,Crafting,Крафт
@/Equip_9000_Name,Blade,Лезо
@/Equip_9001_Name,Nail,Цвях
@/Equip_9002_Name,Bat,Біта
@/Equip_9003_Name,Wooden Club,Дерев'яна дубина
@/Equip_9004_Name,Metal Club,Металева дубина
@/Equip_9005_Name,Steel Pipe,Сталева труба
@/Equip_9006_Name,Nail Bat,Біта з цвяхами
@/Equip_9007_Name,Makeshift Sword,Імпровізований меч
@/Equip_9008_Name,Machete,Мачете
@/Equip_9073_Name,Katana,Катана
@/Equip_9074_Name,Scimitar,Ятаган
@/Equip_9075_Name,Chainsaw,Бензопила
@/Equip_9087_Name,Battleaxe,Бойова сокира
@/Equip_9091_Name,Powerhammer,Бойовий молот
@/Equip_9092_Name,Crowbar,Лом
@/Equip_9012_Name,Magazine,Журнал
@/Equip_9013_Name,Sight,Приціл
@/Equip_9014_Name,Stock,Приклад
@/Equip_9015_Name,Choke,Чок
@/Equip_9016_Name,Vertical Grip,Вертикальний хват
@/Equip_9017_Name,2x Scope,2x Приціл
@/Equip_9018_Name,Muzzle Brake,Дульне гальмо
@/Equip_9019_Name,Angled Grip,Ручка під кутом
@/Equip_9020_Name,4x Scope,4x приціл
@/Equip_9021_Name,Suppressor,Супресор
@/Equip_9022_Name,8x Scope,8-кратний приціл
@/Equip_9069_Name,Expanded Magazine,Розширений магазин
@/Equip_9070_Name,Barrel Choke,Чок-ствол
@/Equip_9071_Name,Bayonet,Багнет
@/Equip_9072_Name,Tactical Flashlight,Тактичний ліхтарик
@/Equip_9051_Name,Crude Rifle,Груба рушниця
@/Equip_9009_Name,Musket,Мушкет
@/Equip_9010_Name,Pipe Gun,Трубний пістолет
@/Equip_9011_Name,Standard Pistol,Стандартний пістолет
@/Equip_9052_Name,Shotgun,Дробовик
@/Equip_9053_Name,Bolt-Action Rifle,Гвинтівка з затвором
@/Equip_9054_Name,Semi-Automatic Rifle,Напівавтоматична гвинтівка
@/Equip_9055_Name,Pump-Action Shotgun,Помпова рушниця
@/Equip_9056_Name,Submachine Gun,Пістолет-кулемет
@/Equip_9057_Name,Automatic Rifle,Автоматична гвинтівка
@/Equip_9058_Name,Sniper Rifle,Снайперська гвинтівка
@/Equip_9090_Name,Tactical Shotgun,Тактичний дробовик
@/Equip_9080_Name,Riot Gun,Штурмова рушниця
@/Equip_9085_Name,Riot Shotgun,Штурмовий дробовик
@/Equip_9059_Name,Explosives,Вибухові речовини
@/Equip_9060_Name,Homemade Bomb,Саморобна бомба
@/Equip_9061_Name,Grenade,Граната
@/Equip_9062_Name,Molotov Cocktail,Коктейль Молотова
@/Equip_9063_Name,Mysterious Seed,Таємниче насіння
@/Equip_9086_Name,Flashbang,Світлошумова граната
@/Equip_9081_Name,Stun Grenade,Шумова граната
@/Equip_9023_Name,Sportswear,Спортивний одяг
@/Equip_9024_Name,Dress,Плаття
@/Equip_9025_Name,Outdoor Wear,Одяг для активного відпочинку
@/Equip_9026_Name,Tactical Wear,Тактичний одяг
@/Equip_9067_Name,Farmer Gear,Одяг фермера
@/Equip_9068_Name,Rancher Gear,Одяг скотаря
@/Equip_9027_Name,Plate Armor,Латовий обладунок
@/Equip_9028_Name,Kneepads,Наколінники
@/Equip_9029_Name,Wristguards,Напульсники
@/Equip_9030_Name,Helmet,Шолом
@/Equip_9031_Name,Bulletproof Vest,Бронежилет
@/Equip_9032_Name,Heavy Armor,Важка броня
@/Equip_9033_Name,Ballistic Shield,Балістичний щит
@/Equip_9034_Name,Bomb Suit,Саперний костюм
@/Equip_9082_Name,Small Backpack,Маленький рюкзак
@/Equip_9083_Name,Hiking Backpack,Туристичний рюкзак
@/Equip_9084_Name,Military Backpack,Військовий рюкзак
@/Equip_9088_Name,Winterwear,Зимовий одяг
@/Equip_9089_Name,Heat Suit,Тепловий костюм
@/Equip_9035_Name,Sedative,Заспокійливий
@/Equip_9036_Name,Ghost Mask,Маска привида
@/Equip_9037_Name,Baseball Cap,Бейсболка
@/Equip_9038_Name,Bandana,Бандана
@/Equip_9039_Name,Beanie,Шапочка
@/Equip_9040_Name,Safety Helmet,Захисний шолом
@/Equip_9041_Name,Apprentice Hard Hat,Каска підручного
@/Equip_9042_Name,Electrician Hard Hat,Каска електрика
