Localization,en,uk
PeopleManager_PeopleKnow,Hearing about {1} filled {0} with childlike wonder. Their opinion of {2} has increased by {3}.,Почуття про {1} сповнило {0} дитячим подивом. Їхня думка про {2} зросла на {3}.
PeopleManager_PeopleLike,"{0} likes {1}, and is happy to hear them brought up in conversation. Their opinion of {2} has increased by {3}.","{0} подобається {1}, і він радий чути, що вони згадуються в розмові. Їхня думка про {2} зросла на {3}."
PeopleManager_PeopleNoFeel,"{0} knows {1}, but has no strong feelings about them either way.","{0} знає {1}, але не відчуває до них сильних почуттів."
PeopleManager_PlaceDonotKnow,"{0} hasn't heard of {1}, so they have no idea what {2} is talking about.","{0} не чули про {1}, тому вони не знають, про що говорить {2}."
PeopleManager_PlaceHate,"{0} hates {1}, and can't bear to hear anyone talking about the place. Their opinion of {2} has fallen by {3}.","{0} ненавидить {1} і не може терпіти, коли хтось говорить про це місце. Їхня думка про {2} впала на {3}."
PeopleManager_PlaceKnow,Hearing about {1} filled {0} with childlike wonder. Their opinion of {2} has increased by {3}.,Почуття про {1} сповнило {0} дитячим подивом. Їхня думка про {2} зросла на {3}.
PeopleManager_PlaceLike,"{0} likes {1}, and is happy to hear it brought up in conversation. Their opinion of {2} has increased by {3}.","Користувачу {0} подобається {1}, і він радий чути про це в розмові. Їхня думка про {2} зросла на {3}."
PeopleManager_PlaceNoFeel,"{0} has heard of {1}, but has no strong feelings about it either way.","{0} чув про {1}, але в жодному разі не має особливих почуттів щодо нього."
PeopleManager_SameAttitude,"Due to their compatible traits ({0}),\n{1} and {2}'s opinions of each other have increased by {3}.","Завдяки їхнім сумісним рисам ({0}),\n думки {1} та {2} один про одного зросли на {3}."
PeopleManager_SeeSex,{0} just can't look. It's killing them. Their Stress has increased.\n,{0} просто не може дивитися. Це їх вбиває. Їхній Стрес зріс.\n
PeopleManager_Sell,Sell,Продати
PeopleManager_SellLackCharm,Your Charm is too low.,Ваша Чарівність занадто низька.
PeopleManager_SellMoral,Your Crew's Virtue has fallen.,Чеснота вашого екіпажу впала.
PeopleManager_SellPeople,"After a unanimous vote, you decide to sell {0}.",Після одноголосного голосування ви вирішуєте продати {0}.
PeopleManager_SellPeopleCharm,Charm: ,Чарівність:
PeopleManager_SellPeoplePrice, Price: ,Ціна:
PeopleManager_SexFun,{0} reduced a lot of Stress by hooking up.\n{1},{0} зменшив Стрес завдяки спілкуванню.\n{1}
PeopleManager_ShortCircuited,{0} short-circuited.,{Коротке замикання.
PeopleManager_ShowLove,{0} can confess their love for {1} (Success Rate: {2}%).,{0} можуть зізнатися в любові до {1} (коефіцієнт успіху: {2}%).
PeopleManager_SkillFine,"{0} isn't that interested in {1}, but they think they know more about it than {2}. Their opinion of them has increased by {3}.","{0} не дуже зацікавлені в {1}, але вони думають, що знають про це більше, ніж {2}. Їхня думка про них зросла на {3}."
PeopleManager_SkillHate,"{0} doesn't know a lot about {1}, and they feel {2} is making fun of them. Their opinion of them has fallen by {3}.","{0} не знають багато про {1}, і вони відчувають, що {2} висміює їх. Їхня думка про них впала на {3}."
PeopleManager_SkillLike,{0}'s thoughts on {1} have piqued {2}'s interest. Their opinion of them has increased by {3}.,Думки {0} щодо {1} зацікавили {2}. Їхня думка про них зросла на {3}.
PeopleManager_SkillNoFeel,{0} isn't interested in {1} at all.,{0} взагалі не зацікавлений у {1}.
PeopleManager_StartHate,{0} has started to dislike {1}.,{0} починає не любити {1}.
PeopleManager_StartTopic,{0} started talking about {1}.,{0} почав говорити про {1}.
PeopleManager_Strongest,{0} is the most capable out of the whole crew—no doubt about it.,"{0} є найздібнішим із усієї команди, без сумніву."
PeopleManager_Together,{1} and {2} have {0}. They're an item now.,{1} і {2} мають {0}. Тепер вони є предметом.
PeopleManager_TooYoung,{0} is too young.,{0} занадто молодий.
PeopleManager_TryEventHate,"{0} had a bad time with the ""{1}"" event and has started to dislike it.","{0} погано провів час із подією ""{1}"", і він почав не подобатися."
PeopleManager_TryEventLessHate,"{0} had a good time with the ""{1}"" event and doesn't dislike it as much as they used to.","{0} добре провели час під час події ""{1}"", і їм вона не подобається так сильно, як раніше."
PeopleManager_TryEventLessLike,"{0} had a bad time with the ""{1}"" event and doesn't like it as much as they used to.","Користувачу {0} погано відбулася подія ""{1}"", і вона йому не подобається так, як раніше."
PeopleManager_TryEventLike,"{0} had a good time with the ""{1}"" event and has started to like it.","{0} добре провів час під час події ""{1}"", і вона почала подобатися."
PeopleManager_TryFriend,{0} wants to be friends with {1}. What do you say?,{0} хоче дружити з {1}. що ти кажеш
PeopleManager_TryFriend2,{0} wants to be friends with {1}. What do you say?,{0} хоче дружити з {1}. що ти кажеш
PeopleManager_TryHate,{0} is really starting to dislike {1}. Want to make this grudge official?,{0} дійсно починає не любити {1}. Хочете оголосити цю образу офіційно?
PeopleUpgradeManager_AttributeAdd,{0}: {1} +{2},{0}: {1} +{2}
PeopleUpgradeManager_AttributeToRemove,Which trait do you want to remove?\n,Яку рису ви хочете видалити?\n
PeopleUpgradeManager_BadTooMuch,You have too many negative traits to use this feature.,"У вас занадто багато негативних рис, щоб використовувати цю функцію."
PeopleUpgradeManager_BuffTooMuch,You have too many traits and cannot obtain more.,"У вас занадто багато рис, і ви не можете отримати більше."
PeopleUpgradeManager_ChooseMan,Select a character to remove a trait from.\n,"Виберіть персонажа, з якого потрібно видалити рису.\n"
PeopleUpgradeManager_FirstEncounter,First encounter with {0}.,Перша зустріч із {0}.
PeopleUpgradeManager_FirstHeard,{0} heard about {1} for the first time.,{0} вперше почув про {1}.
PeopleUpgradeManager_FirstImpressionBad,a bad first impression,погане перше враження
PeopleUpgradeManager_FirstImpressionGood,a good first impression,гарне перше враження
PeopleUpgradeManager_FirstMeet,{0} saw {1} for the first time.,{0} бачите <color=#48aef7>{1} </color> вперше.
PeopleUpgradeManager_FirstTimeCome,First visit to {0}.,Перший візит до {0}.
PeopleUpgradeManager_FirstTimeHear,First time hearing of {0}.,Перший раз про {0}.
PeopleUpgradeManager_GainPoint,Gained {0} trait point(s).,Отримано стільки очок рис: {0}.
PeopleUpgradeManager_GetAttribute,{0} gained trait:,{0} отримав рису:
PeopleUpgradeManager_GetBad,"\nAs this trait is particularly good, you also gained a bad trait.","\nОскільки ця риса особливо хороша, ви також отримали погану рису."
PeopleUpgradeManager_GiveUp,Never mind,Нічого страшного
PeopleUpgradeManager_LackPoints,Not enough trait points.,Недостатньо очок рис.
PeopleUpgradeManager_LoseAttribute,Trait lost: {0},Втрачена риса: {0}
PeopleUpgradeManager_NextTime,Maybe later,Можливо пізніше
PeopleUpgradeManager_NoBad,No bad traits to remove.,"Немає поганих рис, які потрібно видалити."
PeopleUpgradeManager_NoGood,No good traits to remove.,"Немає хороших рис, які потрібно видалити."
PeopleUpgradeManager_RemoveBad,Bad trait lost: {0},Втрачена погана риса: {0}
PeopleUpgradeManager_RemoveGood,Good trait lost: {0}. Trait points gained: {1}.,Втрачена хороша характеристика: {0}. Отримано очок рис: {1}.
PeopleUpgradeManager_WageAdd,{0}'s salary increased.,Зарплата {0} зросла.
PeopleUpgradeManager_XPAdd,{0} {1} gained {2} EXP.,{0} {1} отримав <color=#8f1cd6>{2}</color> <color=#b8b82e>ОД</color>.
PeopleUpgradeManager_XPAllAdd,Crew gained {0} EXP.,Екіпаж отримав  <color=#8f1cd6>{0}</color> <color=#b8b82e>ОД</color>.
PeopleUpgradeManager_XPUpgrade,{0} reached EXP Level {1} and gained 1 trait point. {2},{0} досяг рівня досвіду {1} та отримав 1 очко риси. {2}
BargainWindow_Done,Negotiate,Переговори
BargainWindow_Leave,Leave,Піти
BargainWindow_OurStuff,Your Goods,Ваші товари
BargainWindow_SuccessRate,Success Rate:,Коефіцієнт успішності:
BargainWindow_TheirStuff,Their Goods,Їхні товари
BargainWindowScript_DealingQuantity,Quantity:,Кількість:
BargainWindowScript_Done,Success,Успіх
BargainWindowScript_HisBargain0,What do you want?,що ти хочеш
BargainWindowScript_HisBargain1,What do you wanna trade?,Чим ви хочете торгувати?
BargainWindowScript_HisBargain2,You think I was born yesterday?,"Думаєш, я вчора народився?"
BargainWindowScript_HisBargain3,"You're kidding, right?","Ви жартуєте, правда?"
BargainWindowScript_HisBargain4,Make me a better offer.,Зробіть мені кращу пропозицію.
BargainWindowScript_HisBargain5,I like the sound of that.,Мені подобається це звучання.
BargainWindowScript_HisBargain6,"Very generous, my friend!","Дуже щедро, друже!"
BargainWindowScript_RefuseToDeal,"The traders think you're being too stingy, and refuse your offer.","Торговці вважають, що ви занадто скупі, і відмовляються від вашої пропозиції."
ModUI_AgreeTerms,"By submitting, you agree to the Steam Workshop terms and conditions.","Відправляючи, ви погоджуєтесь із положеннями та умовами Майстерні Steam."
ModUI_Discription,Desc.,Опис
ModUI_InputModDiscription,Input mod description,Введіть опис мода
ModUI_InputModName,Input mod name,Введіть назву мода
ModUI_Name,Name,Ім'я
ModUI_NoPreview,Include an image named 'Preview.png' in the folder to serve as your preview image.,"Додайте зображення під назвою «Preview.png» до папки, яке буде використовуватися як зображення попереднього перегляду."
ModUI_OpenFactory,Open Workshop,Відкритий семінар
ModUI_SeeInFactory,View in Workshop,Переглянути в майстерні
ModUI_Send,Send,Надіслати
ModUI_SendToFactory,Send to Workshop,Відправити в майстерню
ModUI_StartWithModMap,Start Game with Mod Map,Почніть гру з Mod Map
ModUI_Use,Use,використання
ModUI_ViewTerms,View Terms,Переглянути умови
ModUI_WarnTxt,Note: Administrators are only responsible for checking a mod's usability. Compatibility between different mods is not guaranteed. Avoid using too many mods at once.,Примітка. Адміністратори несуть відповідальність лише за перевірку зручності використання мода. Сумісність між різними модами не гарантується. Уникайте використання занадто великої кількості модів одночасно.
ModUIScript_InputName,Input name and description,Введіть назву та опис
ModUIScript_Loading,Loading...,Завантаження...
ModUIScript_Local,(Local),(місцевий)
ModUIScript_Map,Map,Карта
ModUIScript_MoStartMap1,No map found that corresponds with starting settings.,"Не знайдено карти, яка б відповідала початковим налаштуванням."
ModUIScript_MoStartMap2,This mod has no starting map.,Цей мод не має стартової карти.
ModUIScript_NoDiscription,No description.,Без опису.
ModUIScript_NoMapForMod,No map available for this mod.,Немає доступної карти для цього моду.
Dungeon_NoCureForHealthyMan,{0} is in good health and doesn't need healing.,{0} має гарне здоров'я і не потребує лікування.
DungeonBattleManager_CantCureRobot,Robots can't be healed with regular medicine.,Роботів не можна вилікувати звичайною медициною.
DungeonBattleManager_Death,{0} died heroically in battle.,{0} героїчно загинув у бою.
DungeonBattleManager_Death1,We lost the following brave souls in this battle: {0},У цій битві ми втратили таких сміливців: {0}
DungeonBattleManager_GetActionPoint,Your team gained {0} AP thanks to the Battle Hardened skill.,"Ваша команда отримала {0} очок завдяки умінню ""Загартований у бою""."
DungeonBattleManager_Injured,{0} was Wounded,{0} був поранений
DungeonBattleManager_Juele,Damn!,Дідько!
DungeonBattleManager_NoActionPoint,Not enough AP.,Недостатньо енергії.
DungeonBattleManager_NoAmmo,Not enough Ammo.,Мало набоїв.
DungeonBattleManager_NoGun,No gun equipped.,Зброї немає.
DungeonBattleManager_NoOneCanHit,No enemies within attack range.,Ворогів у радіусі атаки немає.
DungeonBattleManager_NoOneInRange,No enemies within firing range.,Ворогів у зоні досяжності немає.
DungeonBattleManager_NoOneInThrowRange,No enemies within throwing range.,Ворогів у зоні досяжності немає.
DungeonBattleManager_NoThrow,No projectile equipped.,Снаряд не споряджений.
DungeonBattleManager_Retreat,Your team gained {0} AP thanks to the Escape Artist skill.,"Ваша команда отримала {0} очок завдяки вмінню ""Втікач""."
DungeonBattleManager_RetreatFail,You couldn't get away!,Ти не міг втекти!
DungeonBattleManager_RetreatSuscess,"You managed to get away, but it took a lot of effort.\n(Team AP reduced to 0)","Вам вдалося втекти, але це коштувало великих зусиль.\n(AP команди зменшено до 0)"
DungeonBattleManager_RIP,Nooo!,Ні!
DungeonBattleManager_Victory,Victory!,Перемога!
DungeonBattleUI_ActionPoint,AP,AP
DungeonBattleUI_Atk,Attack,Атака!
DungeonBattleUI_AtkRange,Attack Range,Діапазон атаки
DungeonBattleUI_Backward,Back,Назад
DungeonBattleUI_BattleSpeed,Combat Speed: ,Бойова швидкість:
DungeonBattleUI_Def,Defense,Оборона
DungeonBattleUI_Defend,Defend,Захищати
DungeonBattleUI_EndRound,End Turn,Кінцевий поворот
DungeonBattleUI_Forward,Forward,Вперед.
DungeonBattleUI_HintRetreat,Escape Chance: 30%\nTeam AP Cost: 1,Шанс на втечу: 30%\nКомандний AP Вартість: 1
DungeonBattleUI_Hit,Light Attack,Легка атака
DungeonBattleUI_Move,Move,Відійди.
DungeonBattleUI_Run,Run,Біжи!
DungeonBattleUI_SeeSkill,Skills,Навички
DungeonBattleUI_Shoot,Shoot,Стріляй.
DungeonBattleUI_ShootConsumption,Ammo Cost,Вартість боєприпасів
DungeonBattleUI_ShootDamage,Ammo Damage,Пошкодження від боєприпасів
DungeonBattleUI_ShootRange,Firing Range,Стрільбище
DungeonBattleUI_Strike,Heavy Attack,Важка атака
DungeonBattleUI_Throw,Throw,Кидай!
DungeonBattleUIScript_Atk,Select an enemy within range to attack.,Виберіть ворога в межах досяжності для атаки.
DungeonBattleUIScript_Conflict,Combat,Боротьба
DungeonBattleUIScript_EnemyControl,Enemy,Ворог
DungeonBattleUIScript_EnemyMove,Enemy Turn,Хід ворога
DungeonBattleUIScript_EnemyTurnMove,Waiting for the enemy to act...,Очікування дій ворога...
DungeonBattleUIScript_FriendlyControl,You,Ти.
DungeonBattleUIScript_FriendlyMove,Your Turn,Твоя черга.
DungeonBattleUIScript_IllegalObject,Invalid Target,Неправильна ціль
DungeonBattleUIScript_InfoActionPoint,"Determined by a character's Fitness. Moving, attacking, shooting, throwing, and other actions require AP. Resets to full at the start of each turn.","Визначається фітнесом персонажа. Пересування, атака, стрільба, кидки та інші дії вимагають AP. Скидається до повного на початку кожного ходу."
DungeonBattleUIScript_InfoBreakDown,Max AP -1,Максимальний AP -1
DungeonBattleUIScript_InfoBulletConsumption,The amount of Ammo fired per shot.,"Кількість боєприпасів, витрачених за один постріл."
DungeonBattleUIScript_InfoBulletDamage,The amount of damage dealt for every Ammo fired.,"Кількість шкоди, що наноситься за кожен вистрілений боєприпас."
DungeonBattleUIScript_InfoCombatPoint,Base melee damage. Reduced by the target's Defense.,Базова шкода від ближнього бою. Зменшується на захист цілі.
DungeonBattleUIScript_InfoDefPoint,"Reduces damage received (up to 80%, down to a minimum of 1 damage).","Зменшує отриману шкоду (до 80%, до мінімум 1 пошкодження)."
DungeonBattleUIScript_InfoDehydration,Max AP -1,Максимальний AP -1
DungeonBattleUIScript_InfoDrunk,Attack -20%,Атака -20%
DungeonBattleUIScript_InfoFatigued,Max AP -1,Максимальний AP -1
DungeonBattleUIScript_InfoHappy,"Focus, Defense, and Attack +20%","Зосередженість, захист та атака +20"
DungeonBattleUIScript_InfoHeavyOverload,Max AP -2,Максимальний AP -2
DungeonBattleUIScript_InfoHungry,"Max AP -1, Attack -20%","Макс AP -1, Атака -20%"
DungeonBattleUIScript_InfoHurt,"Max AP -1, Attack -50%","Макс AP -1, Атака -50%"
DungeonBattleUIScript_InfoOverload,Max AP -1,Максимальний AP -1
DungeonBattleUIScript_InfoShoot,Fires this character's gun at an enemy within range.\n,Стріляє з гармати цього персонажа у ворога в межах досяжності.\n
DungeonBattleUIScript_InfoShootDistance,How many spaces away an enemy has to be for this character to shoot them.,"На скільки клітинок має бути ворог, щоб цей персонаж міг вистрілити в нього."
DungeonBattleUIScript_InfoTap,Spend 1 AP to launch a normal attack against an adjacent enemy.\n,"Витратьте 1 ОД, щоб провести звичайну атаку проти сусіднього супротивника.\n"
DungeonBattleUIScript_InfoTense,Max AP -1,Максимальний AP -1
DungeonBattleUIScript_InfoThrow,Throws this character's equipped projectile at an enemy within range.\n,Кидає екіпірований снаряд цього персонажа у ворога в радіусі дії.\n
DungeonBattleUIScript_InfoThump,Spend 2 AP to launch a powerful attack against an adjacent enemy.\n,"Витратьте 2 очка, щоб розпочати потужну атаку на сусіднього супротивника.\n"
DungeonBattleUIScript_InfoTired,Max AP -1,Максимальний AP -1
DungeonBattleUIScript_LegalObject,Valid Target,Дійсна ціль
DungeonBattleUIScript_MyTurnMove,Select a character to issue commands,Виберіть символ для подачі команд
DungeonBattleUIScript_Neutralized,Unoccupied,Не зайнято
DungeonBattleUIScript_NoAP,Not enough AP to use items.,Недостатньо AP для використання предметів.
DungeonBattleUIScript_SeeInfo,Hover your cursor over an enemy for more info,Наведіть курсор на ворога для отримання додаткової інформації
DungeonBattleUIScript_YourTurn,Your turn,Твоя черга.
DungeonCellMonoScript_BRInfo,It costs extra AP to enter this tile.,Вхід на цей тайл коштує додаткових очок.
DungeonCellMonoScript_BrokenRoad,Broken Road,Розбита дорога
DungeonCellMonoScript_CodeWindZone,Icy Gale,Крижаний шторм
DungeonCellMonoScript_CWZInfo,You can't scout in this tile.,Ви не можете розвідувати в цій плитці.
DungeonCellMonoScript_HotWaterTube,Geyser Field,Гейзерне поле
DungeonCellMonoScript_HWTInfo,Superheated steam periodically shoots out of the ground here. You may get Wounded if you enter this tile.,"Перегріта пара періодично виривається з-під землі. Ви можете отримати поранення, якщо зайдете на цю плитку."
DungeonCellMonoScript_LostCamp,Abandoned Camp,Покинутий табір
DungeonCellMonoScript_LostCampInfo,You can rest here or search for supplies.,Тут можна відпочити або пошукати припаси.
DungeonCellMonoScript_WLInfo,"You may lose something if you enter this tile, or you might find something odd...","Ви можете щось втратити, якщо зайдете на цю плитку, або знайти щось дивне..."
DungeonCityManager_AddNegative,"{0}: Thirst, Hunger, Fatigue, and Stress increased...","{0}: Спрага, голод, втома та стрес зросли..."
DungeonCityManager_BrokenRoadBtn,Proceed Carefully,Дійте обережно
DungeonCityManager_BrokenRoadDiscribe,The road here is rough. You'll need to proceed carefully to cross.,"Дорога тут нерівна. Вам потрібно буде рухатися обережно, щоб перетнути її."
DungeonCityManager_BrokenRoadTitle,Broken Road Tile,Розбита дорожня плитка
DungeonCityManager_CampWhatToDo,You've found an abandoned camp.,Ви знайшли покинутий табір.
DungeonCityManager_CharaNoSuchSkill,Character does not have this skill.,Персонаж не має цього вміння.
DungeonCityManager_Charge,{0}'s team will get to act first in its next battle,Команда {0} діятиме першою у наступній битві
DungeonCityManager_CompleteDungeon,You've fully explored this Ruin,Ви повністю дослідили цю Руїну
DungeonCityManager_CompleteTask,You've completed your objective,Ви виконали свою мету
DungeonCityManager_CTaskRetreat,You've completed your objective. You can retreat if you want.,"Ви виконали своє завдання. Можете відступити, якщо хочете."
DungeonCityManager_CureConfirm,Heal {0} with {1}?\nSuccess Rate: {2}%,Зцілити {0} за допомогою {1}?\nУспішність: {2}%
DungeonCityManager_CureFail,"Despite the treatment, {0}'s condition did not improve.","Незважаючи на лікування, стан {0} не покращився."
DungeonCityManager_Dangerous,It'd be too dangerous to explore further. {0}.,Було б надто небезпечно досліджувати далі. {0}.
DungeonCityManager_DieInPressureEvent1,{0} was already Wounded. They died this turn.,{0} вже був поранений. Вони загинули на цьому ходу.
DungeonCityManager_DieInPressureEvent2,{0} was already Wounded. They were killed by {1} this turn.,{0} вже був поранений. Вони були вбиті {1} на цьому ходу.
DungeonCityManager_FillFuel,Spend 50 Fuel to refuel {0}?,Витратити 50 палива на заправку {0}?
DungeonCityManager_FindItem,Search (Ends this team's turn),Пошук (завершує хід цієї команди)
DungeonCityManager_HintDundeonScale,There's a {0} Ruin here to explore.,"Тут є {0} Руїни, які потрібно дослідити."
DungeonCityManager_HurtHeal,{0}'s injuries were healed.,{Поранення зажили.
DungeonCityManager_ItemBox,You've found a supply cache.,Ти знайшов схованку з припасами.
DungeonCityManager_LargeScale,Large,Великий
DungeonCityManager_MediumScale,Medium,Середній
DungeonCityManager_MemberNoSkill,{0} has no skill.,{0} не має навичок.
DungeonCityManager_MemberNoSuchSkill,{0} doesn't have this skill.,{0} не має цього вміння.
DungeonCityManager_NCTaskRetreat,You haven't completed your objective. Retreat anyways?\n(Retreating without completing the objective will increase the Stress of all crew members),Ви не виконали завдання. Відступати все одно? (Відступ без виконання цілі збільшить стрес для всіх членів екіпажу)
DungeonCityManager_NoCompleteTask,You haven't completed your objective,Ви не виконали свою мету
DungeonCityManager_NoSuchSkill,Character does not have this skill.,Персонаж не має цього вміння.
DungeonCityManager_NoTeamHasSuchSkill,Nobody on the team has this skill.,Ніхто в команді не має такої навички.
DungeonCityManager_NotEveryTeam1Member,All teams must have only 1 member.,У кожній команді має бути лише 1 учасник.
DungeonCityManager_OK,OK,ГАРАЗД.
DungeonCityManager_PassiveSkill,[Passive Skill],[Пасивне вміння].
DungeonCityManager_Preset,Preset,Попереднє налаштування
DungeonCityManager_PressureEvent1,{0} began to harm themselves due to extreme Stress. It took a while to calm them down.,"{0} почали завдавати собі шкоди через сильний стрес. Знадобився деякий час, щоб заспокоїти їх."
DungeonCityManager_PressureEvent2,{0} got into a fight with {1} due to extreme Stress. {2} Wounded {3}.,{0} побився з {1} через сильний стрес. {2} Поранив {3}.
DungeonCityManager_Rest,Rest (Ends this team's turn),Відпочинок (завершує хід цієї команди)
DungeonCityManager_RestEffect,The team had a good rest.\n(All team members lost <color=green>{0}</color> Fatigue and <color=green>{1}</color> Stress),Команда добре відпочила.\n(Всі члени команди позбулися <color=green>{0}</color> втоми та <color=green>{1}</color> стресу)
DungeonCityManager_SkillCall1InTurn,This skill can only be used once per turn.,Це вміння можна використати лише один раз за хід.
DungeonCityManager_SkillCalledLastRound,You must wait until next turn for this skill to recharge.,"Ви повинні почекати до наступного ходу, щоб перезарядити це вміння."
DungeonCityManager_SkillCalledThisRound,This skill was already used this turn.,Це вміння вже було використано на цьому ходу.
DungeonCityManager_SkillDiscribe1,"This character can gain 2 AP on this turn, but will lose 2 AP the next turn.","Цей персонаж може отримати 2 Очки в цей хід, але втратить 2 Очки в наступний хід."
DungeonCityManager_SkillLowerPressure,All team members lost {0} Stress.,Всі члени команди втратили {0} стресу.
DungeonCityManager_SkillReduceTire,All team members lost {0} Fatigue.,Всі члени команди втратили {0} втоми.
DungeonCityManager_SkillWork,This skill is already active.,Ця навичка вже активна.
DungeonCityManager_SmallScale,Small,Малий
DungeonCityManager_StartLater,Maybe Later,"Може, пізніше."
DungeonCityManager_StringWindBtn2,Forward!,Вперед!
DungeonCityManager_StrongWindBtn1,Hold On!,Тримайся!
DungeonCityManager_TimeToRetreat,Let's Jet!,Вперед!
DungeonCityManager_RetreatNow,Retreat,Відступ
DungeonCityManager_TeamMemberIsnt1,Team must have 1 member,Команда повинна складатися з 1 учасника
DungeonCityManager_TeamMemberIsnt2,Team must have 2 members,Команда повинна складатися з 2 учасників
DungeonCityManager_TeamNoInjure,Nobody on the team is Wounded.,Ніхто з команди не поранений.
DungeonCityManager_TeamNoSkill,Nobody on the team has a skill.,Ніхто в команді не має навичок.
DungeonCityManager_TeamNoSuchChara,Nobody on the team has this skill.,Ніхто в команді не має такої навички.
DungeonCityManager_TeamNoSuchMember,Nobody on the team has this skill.,Ніхто в команді не має такої навички.
DungeonCityManager_TeamScout,{0}'s team scouted the area!,Команда {0} розвідала місцевість!
DungeonCityManager_HungryNoFood,"{0} is hungry, but doesn't have any Food...","{0} голодний, але не має їжі..."
DungeonCityManager_ThirthtyNoWater,"{0} is thirsty, but doesn't have any Water...","{0} хоче пити, але не має води..."
DungeonCityManager_RobotNoDrink,Robots don't need Water.,Роботам не потрібна вода.
DungeonCityManager_NoFuel,You don't have 50 Fuel. Spend all remaining Fuel to refuel {0}?,"У вас не вистачає 50 одиниць пального. Витратити все паливо, що залишилося, на заправку {0}?"
DungeonCityManager_NoFuelForHuman,Only Robots need Fuel.,Тільки роботам потрібне паливо.
DungeonCityManager_NoMoreEat,{0} is already full.,{0} вже заповнений.
DungeonCityManager_GeothermalFieldTitle,Geyser Tile,Гейзерна черепиця
DungeonCityManager_GeothermalFieldConfirm,Superheated jets of steam periodically burst out of the ground here.,З-під землі тут періодично вириваються розпечені струмені пари.
DungeonCityManager_GeothermalFieldBtn1,Proceed Carefully (Costs extra AP),Дійте обережно (коштує додаткових AP)
DungeonCityManager_GeothermalFieldEffect1,"It took some time, but you managed to get through safely. (Spent 1 extra AP)","Це зайняло деякий час, але вам вдалося благополучно пройти. (Витрачено 1 додаткову одиницю енергії)"
DungeonCityManager_GeothermalFieldBtn2,Charge! (Chance to get Wounded),В атаку! (Шанс отримати поранення)
DungeonCityManager_GeothermalFieldEffect3,You emerge miraculously unscathed.,Ви дивом виходите неушкодженими.
DungeonCityManager_GeothermalFieldEffect1Btn,Everyone Good?,Усе гаразд?
DungeonCityManager_GeothermalFieldEffect2,A sudden jet of steam Wounded {0}!,Раптовий струмінь пари поранив {0}!
DungeonCityManager_GeothermalFieldEffect2Btn,Yeowch,Ух ти.
DungeonCityManager_GoAhead,Continue,Продовжуйте
DungeonCityManager_StrongWindTitle,Icy Gale Tile,Плитка Icy Gale
DungeonCityManager_StrongWindEffect1,The freezing winds overwhelm your senses (You can't scout here),Холодний вітер пригнічує ваші почуття (тут не можна проводити розвідку)
DungeonCityManager_StrongWindEffect2,"The winds here are strong, but your Visor protects you from the elements (You can still scout here)","Вітри тут сильні, але ваш візор захищає вас від стихії (ви все ще можете розвідувати тут)"
DungeonCityManager_WindCantScout,It's too windy to scout here.,Тут занадто вітряно для розвідки.
DungeonCellMonoScript_UndiscoverAreaTitle,Unexplored Area,Недосліджена територія
DungeonCellMonoScript_UndiscoverArea,Entering unexplored tiles costs extra AP.,Вхід у недосліджені тайли коштує додаткових очок.
DungeonCellMonoScript_BlockingAreaTitle,Debris,Уламки.
DungeonCellMonoScript_BlockingAreaText,You cannot pass through this area.,Ви не можете пройти через цю зону.
DungeonCellMonoScript_WetLand,Muddy Bog,Багнисте болото
DungeonCityManager_WetLandEffect1,You wade through the thick mud. You don't lose anything because you don't have anything to lose.,"Ти пробираєшся крізь густу багнюку. Ти нічого не втрачаєш, бо тобі нема чого втрачати."
DungeonCityManager_WetLandEffext2,"You wade through the thick mud. Thankfully, you don't lose anything.","Ти пробираєшся крізь густу багнюку. На щастя, ви нічого не втрачаєте."
DungeonCityManager_WetLandEffext3,\n,\n
DungeonCityManager_WetLandEffextGain,"After crossing the bog, you find that something has floated into your pockets: \n{0}","Перейшовши болото, ви помічаєте, що у ваших кишенях щось попливло: \n{0}"
DungeonCityManager_WetLandEffextLost,"After crossing the bog, you realize a few things are missing from your pack: \n{0}","Перейшовши болото, ви помічаєте, що у вашому рюкзаку не вистачає кількох речей: \n{0}"
DungeonExplorerRewardUIScript_Btn1,Claimed,Заявлено
DungeonExplorerRewardUIScript_Btn2,Claim,Претензія
DungeonExplorerRewardUIScript_ExploreReward,Exploration Rewards,Винагороди за розвідку
DungeonExplorerRewardUIScript_GetReward,You've received the following rewards: ,Ви отримали наступні нагороди:
DungeonExplorerRewardUIScript_Progress,Exploration Progress: {0}%,Прогрес розвідки: {0}%
DungeonExplorerRewardUIScript_Reward,Every tier of exploration rewards you earn grants you {0} Survey Data.,За кожен рівень нагород за дослідження ви отримуєте {0} даних дослідження.
DungeonExplorerRewardUIScript_Reward2,You earned {0} Survey Data.,Ви заробили {0} даних опитування.
DungeonExplorerRewardUIScript_Title,{0} Exploration Rewards,{0} Винагороди за дослідження
DungeonItemUI_GiveOther,Transfer To,Переказати на
DungeonItemUI_ItemInfo,Item Info,Інформація про товар
DungeonPrepareUI_CreatNewPreset,New Preset,Новий пресет
DungeonPrepareUI_DeletePreset,Delete,Видалити
DungeonPrepareUI_EveryOne,Everyone,Кожен
DungeonPrepareUI_LoadCurrentPreset,Load,Завантажити
DungeonPrepareUI_PresetContent,Contents,Зміст
DungeonPrepareUI_PresetList,Presets,Пресети
