LocalizedMap,en,uk
CityDes_88_83,"This town is surrounded by hidden caves full of unique, beautiful crystals known as ""snowflake quartz"". The people here make a living by mining the snowflake quartz and carving them into ornaments. With the supply of crystals being limited, the town carefully manages how many they sell. To dupe visiting buyers and drive up prices, local sellers come up with fantastical backstories for every ornament they have on offer.","Це містечко оточене прихованими печерами, повними унікальних, красивих кристалів, відомих як ""сніжинки кварцу"". Люди тут заробляють на життя, видобуваючи сніжинки кварцу і вирізаючи з них прикраси. Оскільки запас кристалів обмежений, містечко ретельно контролює, скільки вони продають. Щоб обдурити приїжджих покупців і підняти ціни, місцеві продавці вигадують фантастичні історії для кожної прикраси, яку вони пропонують."
CityDes_88_84,"This settlement is located in a stalactite-filled cave. The walls of the cave are rich in minerals and comparatively soft. Ignoring warnings about a potential collapse, the people here continued mining their way through the rock. They only stopped after a collapsing section of the roof nearly crushed three miners to death. Alarmed, the residents quickly purchased wood from other settlements to build a network of support beams.","Це поселення розташоване в печері, заповненій сталактитами. Стіни печери багаті на мінерали і порівняно м'які. Ігноруючи попередження про можливий обвал, люди продовжували прокладати собі шлях крізь скелю. Вони зупинилися лише після того, як частина даху, що обвалилася, ледь не придавила трьох шахтарів на смерть. Стривожені, мешканці швидко закупили деревину в інших населених пунктах, щоб побудувати мережу опорних балок."
CityDes_88_85,"Centered around a pre-Fall subway station, the original residents of Hommeglace were a group of survivors trying to hide from a massive blizzard up on the surface. The survivors were running out of food, and the subway tunnel was blocked off in both directions, but only one man among them had the courage to brave the frigid cold and search for supplies on the surface.\n\nSeveral days passed, and the man had yet to return. With their food stores critically low, another man volunteered to look for supplies. Emerging out onto the surface, he found his predecessor mere meters away from the entrance—frozen solid but surrounded by the supplies he gathered. Every year, the people of Hommeglace hold a memorial ceremony to honor this hero's sacrifice.","Перші мешканці Гоммеґлейса, розташованого навколо станції метро, були групою вцілілих людей, які намагалися сховатися від сильної хуртовини на поверхні. У вцілілих закінчувалася їжа, а тунель метро був заблокований в обох напрямках, але лише один чоловік серед них набрався сміливості подолати лютий холод і пошукати припаси на поверхні.\n\nПройшло кілька днів, а він все ще не повернувся. Оскільки запаси їжі були на критично низькому рівні, інший чоловік зголосився шукати припаси. Вийшовши на поверхню, він знайшов свого попередника всього за кілька метрів від входу - замерзлого, але оточеного зібраними ним припасами. Щороку жителі Гоммегласу проводять меморіальну церемонію, щоб вшанувати жертву цього героя."
CityDes_88_86,"When refugees first began arriving in Smashburg, the locals were hesitant to accept them, citing a lack of space. The refugees were allowed to stay on the condition that they mined out their own living space from the surrounding rock. Though the bedrock was extremely hard in places, the refugees persevered, slowly but surely carving out a space for themselves.","Коли біженці вперше почали прибувати до Смэшбурга, місцеві жителі не поспішали їх приймати, посилаючись на брак місця. Біженцям дозволили залишитися за умови, що вони видобудуть собі житло з навколишньої скелі. Хоча скеля місцями була надзвичайно твердою, біженці наполегливо, повільно, але впевнено вирізали собі місце для життя."
CityDes_88_87,"Located on the border between the glacial and temperate zones, Coldgate specializes in crafting warm, high-quality clothing to sell to the northern settlements.","Розташована на кордоні між льодовиковою та помірною зонами, компанія Coldgate спеціалізується на виготовленні теплого, високоякісного одягу для продажу в північних поселеннях."
CityDes_88_88,"The people of Brewlington roll, ferment, and roast fresh tea leave to make a wide variety of teas, from refreshing greens to revitalizing blacks. The town smells overwhelmingly of tea, and something about the aroma makes people here remarkably calm. Because most people aren't trying to relax with a hot sencha when they're fighting for basic survival, the town has had trouble finding a sustainable market.","Жителі Брюлінгтона скручують, ферментують і обсмажують свіже чайне листя, щоб зробити широкий асортимент чаю, від освіжаючого зеленого до тонізуючого чорного. Місто наскрізь просякнуте запахом чаю, і щось у цьому ароматі робить людей тут напрочуд спокійними. Оскільки більшість людей не намагаються розслабитися з гарячою сенча, коли вони борються за елементарне виживання, містечко має проблеми з пошуком сталого ринку збуту."
CityDes_88_89,"This underground canning facility originally produced rations exclusively for Mil-Sec. In need of additional revenue streams, however, Mil-Sec began accepting outside orders. ","Цей підпільний консервний завод спочатку виробляв пайки виключно для ""Міл-Сек"". Однак, потребуючи додаткових джерел доходу, Mil-Sec почала приймати замовлення ззовні."
CityDes_88_90,"Years ago, in the face of widespread skepticism and ridicule, a woman named Gilly opened the first underground chicken farm in this city. After many years and iterations, she finally figured out how to raise healthy chickens in the underground. Her findings completely revolutionized the diet of the city, which renamed itself in her honor.\n\nNever one to hoard knowledge, Gilly freely shared her methods with other settlements, allowing more and more people to start their own chicken farms. With the discovery of a stable source of chicken and eggs, the people of the underground were no longer forced to rely on imports from the surface.","Багато років тому, незважаючи на скептицизм і глузування, жінка на ім'я Гіллі відкрила першу підземну курячу ферму в цьому місті. Після багатьох років та ітерацій вона нарешті з'ясувала, як вирощувати здорових курей у підземеллі. Її відкриття повністю змінили раціон харчування міста, яке перейменували на її честь.\n\nНіколи не приховуючи знань, Джиллі вільно ділилася своїми методами з іншими населеними пунктами, дозволяючи все більшій кількості людей відкривати власні курячі ферми. З відкриттям стабільного джерела курятини та яєць жителі підземелля більше не були змушені покладатися на імпорт з поверхні."
CityDes_88_91,"This branch of Dustland Mutual was originally built to service Levelleux. Unfortunately, a fast-growing invasive plant completely choked off the only tunnel connecting it to Levelleux.","Ця гілка Dustland Mutual спочатку була побудована для обслуговування Levelleux. На жаль, швидкозростаюча інвазивна рослина повністю перекрила єдиний тунель, що з'єднував її з Levelleux."
CityDes_88_92,"Thanks to the cold and damp air, many people in this town suffer from joint pain. Long ago, a local doctor invented a highly-effective pain relief ointment, made from a special herb that grows nearby. Shortly before his death, the doctor shared his research notes with the rest of the town. Since then, the inhabitants of Rue Matoid have begun mass-produce the ointment recipes contained in his notes, trading them with other settlements.","Через холодне та вологе повітря багато людей у цьому містечку страждають від болю в суглобах. Давним-давно місцевий лікар винайшов високоефективну знеболювальну мазь, виготовлену з особливої трави, що росте неподалік. Незадовго до смерті лікар поділився своїми дослідженнями з усіма жителями міста. Відтоді мешканці вулиці Матойд почали масово виготовляти рецепти мазей, що містяться в його записах, торгуючи ними з іншими населеними пунктами."
CityDes_88_93,"If you're going to Ham Francisco, you're going to meet some tasty meats there. The smell of meat permeates every corner of this city. Spicy, honeyed, herbaceous... you'll find practically any flavor of jerky here. Every family in Ham Francisco has its own jealously-guarded secret recipes.","Якщо ви їдете в Хам Франциско, то неодмінно зустрінете там смачне м'ясо. Запах м'яса пронизує кожен куточок цього міста. Гостре, медове, трав'янисте... ви знайдете тут практично будь-який смак в'яленого м'яса. Кожна сім'я в Хам Франциско має свої власні секретні рецепти, які ревно оберігаються."
CityDes_88_94,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Не зовсім легальна організація, що пропонує заощадження, позики та послуги з управління капіталом."
CityDes_88_95,"The old order collapsed in the Fall, but not all were willing to let it die without a fight. Using this city as a base, remnants of the pre-Fall military fought to preserve the last vestiges of civilization. They preserved libraries and museums to pass on their knowledge, built schools and academies to educate their future leaders, and sponsored artists and musicians as a reminder that civilization was still worth saving.\n\nThe result has been a thriving, vibrant city. Though Fort Saudade remains a far cry from the cities of old, its people believe that they're getting closer with each passing day.","Старий порядок впав під час Падіння, але не всі були готові дозволити йому померти без бою. Використовуючи це місто як базу, залишки доосінніх військових боролися за збереження останніх залишків цивілізації. Вони зберегли бібліотеки і музеї, щоб передати свої знання, побудували школи і академії, щоб навчати своїх майбутніх лідерів, і спонсорували художників і музикантів, щоб нагадати, що цивілізація все ще варта того, щоб її врятувати.\n\nРезультатом стало процвітаюче, жваве місто. Хоча Форт-Саудаде залишається далеким від давніх міст, його мешканці вірять, що з кожним днем вони стають ближчими."
CityDes_88_96,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Не зовсім легальна організація, що пропонує заощадження, позики та послуги з управління капіталом."
CityDes_88_97,"The village of Remedia always smells of medicinal herbs. It is run by an old woman, a renowned herbalist, and her apprentice (who also happens to be her grandson). Her encyclopedic memory of folk remedies has served her community well. Her apprentice, on the other hand, wants to look towards the future, researching ways to produce more scalable and fast-acting medicines.","У селі Ремедія завжди пахне цілющими травами. Ним керує старенька жінка, відома травниця, та її учень (який також є її онуком). Її енциклопедична пам'ять на народні засоби добре служить її громаді. Її учень, з іншого боку, хоче зазирнути в майбутнє, досліджуючи способи виробництва більш масштабованих і швидкодіючих ліків."
CityDes_88_98,"This settlement and its name have their roots in a thrilling story. Not long after the Fall, a small group of survivors found themselves trapped in a subway station. Deciding the only way out was through, their leader led them through the tunnels in search of a safe place to settle.\n\nThough he had no idea where he was going, he promised his group that their destination, a safe haven, was a mere 100 kilometers away. This white lie filled them with hope and anticipation, even as they passed by all the scenes of carnage that were common during the early days of the Fall.\n\nAfter untold days and nights, the group finally arrived at the large, fortified settlement of Triumph City. Only then did they learn that they had actually travelled 300 kilometers. Though they weren't allowed to settle there, Triumph City offered them supplies in exchange for their help repairing the city. With these supplies, they returned to their original station and built their own settlement, naming it ""Hundred Klicks"" in honor of the little lie that had kept them moving forwards.","Це поселення та його назва пов'язані із захопливою історією. Незабаром після Падіння невелика група людей, що вижили, опинилася в пастці на станції метро. Вирішивши, що єдиний вихід - назовні, їхній лідер повів їх тунелями в пошуках безпечного місця для поселення.\n\nХоча він і гадки не мав, куди йде, він пообіцяв своїй групі, що місце призначення, безпечний притулок, знаходиться всього за 100 кілометрів звідси. Ця брехня сповнювала їх надією та очікуванням, навіть коли вони проходили повз сцени різанини, які були звичайним явищем у перші дні Падіння.\n\nПісля незліченних днів і ночей група нарешті прибула до великого, укріпленого поселення Тріумф-Сіті. Тільки тоді вони дізналися, що насправді подолали 300 кілометрів. Хоча їм не дозволили там оселитися, Тріумф-Сіті запропонувало їм припаси в обмін на допомогу у відновленні міста. З цими припасами вони повернулися на свою початкову станцію і побудували власне поселення, назвавши його ""Сто клацань"" на честь маленької брехні, яка змусила їх рухатися вперед."
CityDes_88_99,"The city of Symposia is centered around a pre-Fall library, accidentally discovered by workers during a construction project. At first, it served as little more than a rest stop for passing refugees, but as order was restored to the underground it came to the attention of educated folks from all over.\n\nThe library's vast collection attracted writers, intellectuals, and artists from throughout the underground, who built Symposia into the cultural powerhouse it is today. Its collection includes works of history, fiction, science, art, and more. Though not comparable to the pre-Fall classics, the residents of Symposia have even begun to write their own books to add to the library, making it an important repository for the history and culture of the Dustlands.","Місто Симпозіум зосереджене навколо допотопної бібліотеки, випадково знайденої робітниками під час будівельного проекту. Спочатку вона слугувала лише місцем відпочинку для біженців, але з відновленням порядку в підпіллі привернула увагу освічених людей звідусіль.\n\nБагата колекція бібліотеки приваблювала письменників, інтелектуалів та митців з усього підпілля, які перетворили Симпозіумі на культурний центр, яким він є сьогодні. Її колекція включає твори з історії, художньої літератури, науки, мистецтва тощо. Хоча це не можна порівняти з доосінньою класикою, мешканці Симпозіуму навіть почали писати власні книги, щоб поповнити бібліотеку, зробивши її важливим сховищем історії та культури Пилових Земель."
CityDes_88_100,"A large sewer pipe passed above this city, causing the ceiling to leak sewer water year-round. Disgusting as it sounds, it's proven to be a major boon to the city, and has kickstarted its water purification industry. The locals collect the sewer water and purify it thoroughly, providing them with enough potable water to sustain themselves and sell to other settlements.\n\nThe city's second industry is importing wheat and eggs, which they then process into energy bars. Convenient, portable, and packed with nutrition, these energy bars are an essential part of any explorer's survival kit.","Над цим містом проходила велика каналізаційна труба, через що зі стелі цілий рік протікала каналізаційна вода. Як би огидно це не звучало, але це виявилося великим благом для міста і дало поштовх розвитку індустрії водоочищення. Місцеві жителі збирають каналізаційну воду і ретельно очищають її, забезпечуючи себе достатньою кількістю питної води для власного споживання та продажу іншим населеним пунктам.\n\nДруга галузь міста - імпорт пшениці та яєць, які потім переробляють на енергетичні батончики. Зручні, портативні та поживні, ці енергетичні батончики є невід'ємною частиною набору для виживання будь-якого дослідника."
CityDes_88_101,"This town's most notable feature is the unknown species of moss that grows here. The townspeople have found that it makes for an excellent dye, turning fabrics a soft emerald green. The colorful cloth produced here is highly sought after in the otherwise-drab underground.","Найвизначнішою особливістю цього міста є невідомий вид моху, який тут росте. Мешканці міста виявили, що він є чудовим барвником, який надає тканинам ніжного смарагдово-зеленого кольору. Барвиста тканина, яку тут виробляють, користується великим попитом у похмурих підземеллях."
CityDes_88_102,"This town's economy is centered around mining and producing building materials. Some other residents have taken to producing canned fruit, honey, and other sweets. The miners, who work hard all day and are always looking for a quick fix of dopamine, spend most of their wages on these treats.","Економіка міста зосереджена на видобутку корисних копалин та виробництві будівельних матеріалів. Інші мешканці займаються виробництвом фруктових консервів, меду та інших солодощів. Шахтарі, які важко працюють цілими днями і завжди шукають швидкого допаміну, витрачають більшу частину своєї зарплати на ці ласощі."
CityDes_88_103,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_88_104,Perhaps this was once a bustling city. Now it's just a ruin being slowly consumed by the swamp...,"Можливо, колись це було жваве місто. Зараз це лише руїни, які повільно поглинає болото..."
CityDes_88_105,Perhaps this was once a bustling city. Now it's just a ruin...,"Можливо, колись це було жваве місто. Тепер це лише руїни..."
CityDes_88_106,Perhaps this was once a bustling city. Now it's just a ruin...,"Можливо, колись це було жваве місто. Тепер це лише руїни..."
CityDes_88_107,Perhaps this was once a bustling city. Now it's just a ruin...,"Можливо, колись це було жваве місто. Тепер це лише руїни..."
CityDes_88_108,Perhaps this was once a bustling city. Now it's just a ruin buried beneath magma and ash...,"Можливо, колись це було жваве місто. Тепер це лише руїни, поховані під магмою та попелом..."
CityDes_88_109,Perhaps this was once a bustling city. Now it's just a ruin buried beneath magma and ash...,"Можливо, колись це було жваве місто. Тепер це лише руїни, поховані під магмою та попелом..."
CityDes_88_110,Perhaps this was once a bustling city. Now it's just a ruin...,"Можливо, колись це було жваве місто. Тепер це лише руїни..."
CityDes_88_111,Perhaps this was once a bustling city. Now it's just a ruin buried beneath magma and ash...,"Можливо, колись це було жваве місто. Тепер це лише руїни, поховані під магмою та попелом..."
CityDes_88_112,Perhaps this was once a bustling city. Now it's just a ruin...,"Можливо, колись це було жваве місто. Тепер це лише руїни..."
CityDes_88_113,Perhaps this was once a bustling city. Now it's just a ruin being slowly consumed by the swamp...,"Можливо, колись це було жваве місто. Зараз це лише руїни, які повільно поглинає болото..."
CityDes_88_114,"Elysium was once the beating heart of the underground, a symbol of the ideals that made humanity worth fighting for. Not anymore.","Колись Елізіум був пульсуючим серцем андеграунду, символом ідеалів, за які варто було боротися. Але вже ні."
CityDes_88_115,Perhaps this was once a bustling city. Now it's just a ruin being slowly consumed by the swamp...,"Можливо, колись це було жваве місто. Зараз це лише руїни, які повільно поглинає болото..."
CityDes_88_116,"Perhaps this was once a bustling city. Now it's just a ruin, frozen in time...","Можливо, колись це було жваве місто. Тепер це лише руїни, застиглі в часі..."
CityDes_88_117,"Perhaps this was once a bustling city. Now it's just a ruin, frozen in time...","Можливо, колись це було жваве місто. Тепер це лише руїни, застиглі в часі..."
CityDes_88_118,"Perhaps this was once a bustling city. Now it's just a ruin, frozen in time...","Можливо, колись це було жваве місто. Тепер це лише руїни, застиглі в часі..."
CityDes_88_119,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_88_120,Perhaps this was once a bustling city. Now it's just a ruin...,"Можливо, колись це було жваве місто. Тепер це лише руїни..."
CityDes_88_121,Perhaps this was once a bustling city. Now it's just a ruin...,"Можливо, колись це було жваве місто. Тепер це лише руїни..."
CityDes_88_142,"The headquarters of an organization dedicated to the construction of roads. The hope is that connecting the settlements of the underground with new paths will help facilitate communication, trade, and the restoration of civilization.","Штаб-квартира організації, що займається будівництвом доріг. Є надія, що з'єднання поселень підпілля новими шляхами допоможе полегшити комунікацію, торгівлю та відновлення цивілізації."
CityDes_88_146,"Before the tunnels to it collapsed, this was a major transportation hub for the volcanic zone. Every year, on the final day of summer, high-ranking Dustwolves are invited here to participate in a mysterious ritual.","До того, як тунелі, що вели до нього, обвалилися, це був головний транспортний вузол вулканічної зони. Щороку, в останній день літа, сюди запрошують високопоставлених Пилових Вовків для участі в таємничому ритуалі."
CityDes_88_197,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Не зовсім легальна організація, що пропонує заощадження, позики та послуги з управління капіталом."
CityDes_99_1,"If you ask the workers here where exactly the name came from, they'll say that at some point, the goats in the mountain forests to the north started acting real strange—maybe as a result of the virus. In any case, their eyes turned bright red, and they began to screech and jump about in a frenzy, becoming known as ""frenzygoats"". Press them a little further, and they'll tell you that a few years back, the factory foreman got lost in that same forest, only to come back a few days later with a frenzygoat in tow. He doted on that goat like it was his own child, day in day out, no matter how many things it broke in the factory.","Якщо ви запитаєте місцевих працівників, звідки саме пішла ця назва, вони скажуть, що в якийсь момент кози в гірських лісах на півночі почали поводитися по-справжньому дивно - можливо, через вірус. У будь-якому випадку, їхні очі стали яскраво-червоними, вони почали несамовито верещати і стрибати, ставши відомими як ""скажені кози"". Притисніть їх ще трохи, і вони розкажуть вам, що кілька років тому в цьому ж лісі заблукав майстер фабрики, щоб повернутися через кілька днів з козлом на буксирі. Він любив цю козу, як власну дитину, день за днем, незважаючи на те, скільки речей вона зламала на фабриці."
CityDes_99_2,"This gas station is haunted by flocks of hopeful looking crows, no doubt accustomed to feasting on the unlucky travelers who try and fail to make their way through the swamp. The owner of the station, however, seems to enjoy their company.","Цю заправку переслідують зграї ворон, які, без сумніву, звикли ласувати невдалими мандрівниками, що намагаються і не можуть пробитися через болото. Власнику заправки, однак, здається, подобається їхня компанія."
CityDes_99_3,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_4,"This farm is protected by the nearby Thunderclap Military Base, and helps to feed the barracks in return.","Ця ферма знаходиться під захистом військової бази ""Тандерклап"", що розташована неподалік, і допомагає годувати казарми."
CityDes_99_5,"Nestled between the Fuller and Shoji Mountains, Frostford is a frequent stop for travelers making their way to and from the central plains. The people here are old hands at tire maintenance, and will collect scrap tires, patch them up with homemade rubber patches, and sell them back to you at the price of brand-new ones.","Розташований між горами Фуллер і Шодзі, Фростфорд є частою зупинкою для мандрівників, які прямують до центральних рівнин або з них. Місцеві жителі - старі знавці шиномонтажу, вони зберуть утилізовані шини, залатають їх саморобними гумовими латками і продадуть вам за ціною новеньких."
CityDes_99_6,"This place offers bulk purchases of sugarcane, spices, vegetables, and meat, but you can't see any crops or livestock in the vicinity. Who knows where they're getting this stuff?","Це місце пропонує оптові закупівлі цукрової тростини, спецій, овочів і м'яса, але поблизу не видно жодних посівів чи худоби. Хто знає, звідки вони все це беруть?"
CityDes_99_7,"This gas stations lies at the entrance to the plains. The owner claims to sell ""tea leaves."" He freely admits that they're just clippings from the various shrubs of the barren mountain valley, but they're surprisingly close to the real thing when steeped in hot water—leading to them being known as ""pover-tea"".","Ця заправка знаходиться при в'їзді на рівнину. Власник стверджує, що продає ""чайне листя"". Він вільно зізнається, що це лише обрізки з різних чагарників безплідної гірської долини, але вони напрочуд близькі до справжніх, якщо їх замочити в гарячій воді, через що їх називають ""повер-чаєм""."
CityDes_99_8,"Though excited war cries and agonized yells can occasionally be heard from over the high walls of this military base, little is known of what goes on inside, and the traders in the vicinity remain tight-lipped.","Хоча з-за високих стін цієї військової бази час від часу долинають збуджені бойові вигуки та агонізуючі крики, мало що відомо про те, що відбувається всередині, а торговці в околицях тримають язик за зубами."
CityDes_99_9,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_10,"Despite what the name might suggest, the fugitives occupying this place can be heard making ungodly noises at all hours of the day.","Незважаючи на назву, втікачів, які займають це місце, можна почути, як вони видають нечестиві звуки в будь-який час доби."
CityDes_99_11,"At this military training facility, the officers have taken pains to ingratiate themselves with the major power brokers, signing agreements to train elite troops for the forces of various warlords. There is no shortage of impetuous young men willing to sign their lives away—even with the knowledge that many do not survive this rigorous training.","У цьому військовому тренувальному центрі офіцери намагаються втертися в довіру до головних можновладців, підписуючи угоди про підготовку елітних військ для сил різних воєначальників. Тут не бракує імпульсивних молодих людей, готових віддати своє життя - навіть знаючи, що багато хто не витримає цього суворого вишколу."
CityDes_99_12,"It's not clear which faction this base belongs to, but rumor has it that this place is responsible for training the ravens used to send long-distance messages through the mountain forests.","Невідомо, якій фракції належить ця база, але ходять чутки, що саме тут тренують круків, які використовуються для передачі повідомлень на великі відстані через гірські ліси."
CityDes_99_13,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_14,"Though the soldiers that trained here may have once achieved glorious deeds, the flocks of birds that swarm about the base are a clear sign that it is no longer what it once was.","Хоча солдати, які тренувалися тут, можливо, колись і здійснили славні подвиги, зграї птахів, які рояться навколо бази, є чітким знаком того, що вона вже не та, що була колись."
CityDes_99_15,The sound of orderly military drills can be heard coming from this base.,З цієї бази доносяться звуки впорядкованих військових навчань.
CityDes_99_16,"This place was once home to the Syndicate's sizable military forces. But as the swamp waters advanced, the base was left submerged and abandoned.","Колись це місце було домом для значних військових сил Синдикату. Але коли болотні води наступали, база була затоплена і покинута."
CityDes_99_17,"From time to time, this military base will stage a great and ostentatious show of force, with loudspeakers pointed northward to bark out terrifying slogans.","Час від часу ця військова база влаштовує велику і показну демонстрацію сили з гучномовцями, спрямованими на північ, які вигукують страхітливі гасла."
CityDes_99_18,"Though practically submerged, this place still offers a degree of defense.","Хоча це місце практично занурене під воду, воно все ще пропонує певний рівень захисту."
CityDes_99_19,"This large, mysterious military base is said to be tasked with protecting the Magnet Fuel Depot in the woods to the south.","Кажуть, що завданням цієї великої таємничої військової бази є охорона паливного складу ""Магніт"" у лісі на півдні."
CityDes_99_20,This base is said to train private armies for elites from across the Dustlands.,"Кажуть, що на цій базі тренують приватні армії для еліти з усіх Пилових земель."
CityDes_99_21,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_22,"This military base was taken over by a warlord who was defeated in the last series of wars to hit the Dustlands. He dragged the remainder of his forces to this frostbitten region and lay in wait for many years, tempting recruits with generous salaries and training them to exacting standards. Some say the base is carrying out secret research with the intent of turning the infected into compliant soldiers.","Цю військову базу захопив воєначальник, який зазнав поразки в останній серії воєн за Пилові землі. Він перекинув рештки своїх сил у цей обморожений регіон і зачаївся на довгі роки, спокушаючи новобранців щедрими зарплатами та навчаючи їх за суворими стандартами. Дехто каже, що на базі проводяться таємні дослідження з метою перетворити інфікованих на слухняних солдатів."
CityDes_99_23,This farm is located in the middle of an icy plain. Its unique terrain makes it an excellent place to grow valuable medicinal herbs.,Ця ферма розташована посеред крижаної рівнини. Унікальний рельєф робить її чудовим місцем для вирощування цінних лікарських трав.
CityDes_99_24,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_25,"The owner of this farm has built a row out of cowsheds out of discarded sheet metal and other salvaged material. Though crude, they manage to shield the dairy cows from the freezing wind.","Власник цієї ферми збудував ряд корівників з викинутого листового металу та інших підручних матеріалів. Хоч і грубі, але вони захищають дійних корів від крижаного вітру."
CityDes_99_26,"This farm is run by a handful of families, with a compound consisting of a number of dwellings and livestock pens. Their forebears came to these mountains to escape the danger of the city. Now, their descendants continue to till the land, planting wheat and fruit trees.","Цим господарством керує кілька родин, а його територія складається з кількох житлових будинків і загонів для худоби. Їхні предки прийшли в ці гори, щоб уникнути небезпеки міста. Тепер їхні нащадки продовжують обробляти землю, саджаючи пшеницю і фруктові дерева."
CityDes_99_27,"Before the Fall, this farm offered visitors a chance to try their hand at farming for themselves, with the location picked specifically to support a number of crop varieties. Now, it produces the basics necessary for survival in the Dustlands—mainly wheat, along with a couple of rare spices.","До осені ця ферма пропонувала відвідувачам можливість спробувати свої сили в сільському господарстві, а місцевість була спеціально підібрана для вирощування певних сортів сільськогосподарських культур. Зараз тут вирощують основні продукти, необхідні для виживання в Пустищах - переважно пшеницю, а також кілька рідкісних спецій."
CityDes_99_28,"The heat and humidity here make it perfectly suited to growing sugarcane, spices, and rubber.","Спека і вологість роблять його ідеальним місцем для вирощування цукрової тростини, спецій і каучуку."
CityDes_99_29,"This farm is run by a polite, friendly young woman, who gave the farm its name. She also has a team of highly trained mercenaries on standby just down the hill in case she runs into trouble.","Цією фермою керує ввічлива, привітна молода жінка, яка і дала назву фермі. У неї також є команда висококваліфікованих найманців, які стоять напоготові внизу пагорба на випадок, якщо вона потрапить у біду."
CityDes_99_30,"Thickly piled volcanic ash has made the soil here highly fertile, making it an excellent place to grow large quantities of high-quality coffee beans and fruit.","Товстий шар вулканічного попелу зробив ґрунт тут надзвичайно родючим, що робить його чудовим місцем для вирощування великої кількості високоякісних кавових зерен і фруктів."
